X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-79.56435700406341,40.589996965491636,0,,,4466425952,,,,,1105,N,,WARREN,AVE,,,,
-79.56441732140857,40.589886016214209,0,,,4466425952,,,,,1101,N,,WARREN,AVE,,,,
-79.564078561714155,40.589648055924833,0,,,4466428734,,,,,704,N,,11TH,ST,,,,
-79.564684764570458,40.589590807763877,0,,,4466424765,,,,,1015,N,,WARREN,AVE,,,,
-79.563418177701678,40.589446642923917,0,,,4466428734,,,,,708,N,,11TH,ST,,,,
-79.563925027306709,40.589401286126126,0,,,4466428734,,,,,707,N,,11TH,ST,,,,
-79.563293400341067,40.58939183719518,0,,,4466428734,,,,,710,N,,11TH,ST,,,,
-79.564894032401469,40.589321935701918,0,,,4466424765,,,,,1005,N,,WARREN,AVE,,,,
-79.565343453705381,40.589279675451529,0,,,4466424765,,,,,1006,N,,WARREN,AVE,,,,
-79.562807831720377,40.589313932566803,0,,,4466523620,,,,,714,N,,11TH,ST,,,,
-79.561543416008618,40.58923204518581,0,,,4466523620,,,,,728,N,,11TH,ST,,,,
-79.562287146610345,40.589211657481272,0,,,4466523620,,,,,718,N,,11TH,ST,,,,
-79.56491933806349,40.589154559750241,0,,,4466424765,,,,,1003,N,,WARREN,AVE,,,,
-79.562037281942452,40.589174742462163,0,,,4466523620,,,,,722,N,,11TH,ST,,,,
-79.561887097426805,40.589128542173832,0,,,4466523620,,,,,724,N,,11TH,ST,,,,
-79.565439775480073,40.589068356419695,0,,,4466423585,,,,,908,N,,WARREN,AVE,,,,
-79.561268276353331,40.589099094074122,0,,,4466523620,,,,,730,N,,11TH,ST,,,,
-79.561194462614452,40.589067247712158,0,,,4466523620,,,,,732,N,,11TH,ST,,,,
-79.562645534038765,40.589005666178153,0,,,4466523620,,,,,715,N,,11TH,ST,,,,
-79.562454069372635,40.589003989489683,0,,,4466523620,,,,,717,N,,11TH,ST,,,,
-79.561111131539548,40.589022755873202,0,,,4466523620,,,,,734,N,,11TH,ST,,,,
-79.565435178641707,40.588952673727761,0,,,4466423585,,,,,906,N,,WARREN,AVE,,,,
-79.56397208131537,40.588970092393964,0,,,4466427486,,,,,402,N,,10TH,ST,,,,
-79.565520460097716,40.588869250693037,0,,,4466423585,,,,,,N,,WARREN,AVE,,,,
