X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-78.142244377811096,41.32861168573654,0,,,8462037579,,1900,7579,,501,,,CASTLE GARDEN,RD,,,,
-78.143583997094424,41.32840454561665,0,,,8462034502,,1900,4502,,64,,,BELDIN,DR,,,,
-78.171106128490777,41.328212756996841,0,,,8452238448,,1900,8448,,9760,,,MIX RUN,RD,,,,
-78.142927820669982,41.328288304219114,0,,,,,1901,,,,,,,,,,,
-78.142717267608603,41.328273318701704,0,,,8462036447,,1900,6447,,465,,,CASTLE GARDEN,RD,,,,
-78.143346259586565,41.328230797083798,0,,,8462034466,,1900,4466,,61,,,BELDIN,DR,,,,
-78.143240316222844,41.328217933557234,0,,,,,1901,,,,,,,,,,,
-78.171516472500315,41.328096501151023,0,,,8452237434,,1900,7434,,9736,,,MIX RUN,RD,,,,
-78.170427682473886,41.328074086462422,0,,,8452330433,,1900,0433,,9800,,,MIX RUN,RD,,,,
-78.17193436801449,41.328018710241508,0,,,8452236411,,1900,6411,,9714,,,MIX RUN,RD,,,,
-78.144312519606913,41.328109744939233,0,,,8462032401,,1900,2401,,102,,,BELDIN,DR,,,,
-78.171762739120254,41.32799957051828,0,,,,,1901,,,,,,,,,,,
-78.171477953215145,41.327999928289721,0,,,,,1901,,,,,,,,,,,
-78.171477953215145,41.327999928289721,0,,,,,1901,,,,,,,,,,,
-78.144487503695572,41.328088114057628,0,,,,,1901,,,,,,,,,,,
-78.145038080981905,41.328023958608604,0,,,,,1901,,,,,,,,,,,
-78.170019049430593,41.327930587156963,0,,,8452331348,,1900,1348,,9824,,,MIX RUN,RD,,,,
-78.173423114798723,41.327875500700429,0,,,8452232306,,1900,2306,,9632,,,MIX RUN,RD,,,,
-78.171097630035689,41.32788175274608,0,,,8452238346,,1900,8346,,9762,,,MIX RUN,RD,,,,
-78.173205286647075,41.327872125837423,0,,,8452232366,,1900,2366,,9644,,,MIX RUN,RD,,,,
-78.143706983498802,41.327965409843131,0,,,8462033366,,1900,3366,,87,,,BELDIN,DR,,,,
-78.16929749825853,41.327808399820292,0,,,8452333343,,1900,3343,,9860,,,MIX RUN,RD,,,,
-78.143412827609694,41.327867288835485,0,,,,,1901,,,,,,,,,,,
-78.172608893498193,41.327749422080892,0,,,8452234332,,1900,4332,,9674,,,MIX RUN,RD,,,,
-78.168752724477244,41.327752657633063,0,,,8452334391,,1900,4391,,9890,,,MIX RUN,RD,,,,
-78.144609721615339,41.327815354116488,0,,,,,1901,,,,,,,,,,,
-78.143260956138676,41.327793932922184,0,,,8462034390,,1900,4390,,423,,,CASTLE GARDEN,RD,,,,
-78.144688249904746,41.327723024369114,0,,,8462030297,,1900,0297,,137,,,ARCHERS,LN,,,,
-78.147139030673713,41.327693571633894,0,,,,,1901,,,,,,,,,,,
-78.147302123270904,41.327653086475081,0,,,,,1901,,,,,,,,,,,
-78.173272519684303,41.327549412535774,0,,,8452232245,,1900,2245,,9634,,,MIX RUN,RD,,,,
-78.147578162158652,41.327614120740463,0,,,8452933204,,1900,3204,,7219,,,LOW GRADE,RD,,,,
-78.147182464599837,41.327537462435203,0,,,8452934211,,1900,4211,,7227,,,LOW GRADE,RD,,,,
-78.174942705161783,41.327432586374172,0,,,8452137281,,1900,7281,,9552,,,MIX RUN,RD,,,,
-78.14497164380289,41.327500090604403,0,,,8462030129,,1900,0129,,133,,,ARCHERS,LN,,,,
-78.148040589324964,41.327468541771474,0,,,,,1901,,,,,,,,,,,
-78.145145101805028,41.327442596148373,0,,,,,1901,,,,,,,,,,,
-78.145145407578056,41.327442584060584,0,,,,,1901,,,,,,,,,,,
-78.163024415885786,41.327358133945616,0,,,8452530166,,1900,0166,,47,,,PONDEROSA,DR,,,,
-78.147871541868042,41.32738114980728,0,,,8452932125,,1900,2125,,7193,,,LOW GRADE,RD,,,,
-78.144270316709992,41.32739075644988,0,,,8462032115,,1900,2115,,361,,,CASTLE GARDEN,RD,,,,
-78.145682502496939,41.327364505390051,0,,,,,1901,,,,,,,,,,,
-78.161787289043488,41.327220223684101,0,,,8452534101,,1900,4101,,10232,,,MIX RUN,RD,,,,
-78.145696155529123,41.327231744650483,0,,,8452938029,,1900,8029,,115,,,ARCHERS,LN,,,,
-78.161062673685549,41.32716824443844,0,,,8452536009,,1900,6009,,10236,,,MIX RUN,RD,,,,
