X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-79.31358202683829,41.125861858960796,0,,,59031,,ADR,,,784,,,LIMESTONE,RD,,LIMESTONE TWP,,
-79.487433129936335,41.039168952248097,0,,,59032,,GAR,,,-99999,,,,,,TOBY TWP,,
-79.487349545789996,41.039088005577135,0,,,59033,,GAR,,,-99999,,,,,,TOBY TWP,,
-79.487139123953469,41.03893293593503,0,,,59034,,ADR,,,894,,,ROUTE 861,,,TOBY TWP,,
-79.360255750746575,41.206779921006039,0,,,59035,,ADR,,,81,,,FARMALL,RD,,CLARION TWP,,
-79.495143083683729,41.217322840263627,0,,,59036,,ADR,,,9690,,,HUCKLEBERRY,RDG,,BEAVER TWP,,
-79.275079842077787,41.419200484492919,0,,,59037,,ADR,,,1750,,,ROUNDTOWN,DR,,FARMINGTON TWP,,
-79.405011990295193,41.018238655828405,0,,,53418,,ADR,,,2224,,,SAINT CHARLES,RD,,PORTER TWP,,
-79.558830057214891,41.28030280003798,0,,,53419,,ADR,,,2662,,,ROUTE 322,,,ASHLAND TWP,,
-79.346704050651098,41.01110089039274,0,,,53420,,ADR,,,706,,,OLEAN,TRL,,PORTER TWP,,
-79.333623180132278,41.129987594172995,0,,,53421,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333564527893614,41.130033593826973,0,,,53422,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333505874382624,41.130079593464423,0,,,53423,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33344722079012,41.130125593071611,0,,,53424,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333388567116103,41.130171592648587,0,,,53425,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333349829085336,41.130217316922653,0,,,53426,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333290811202446,41.130248258238311,0,,,53427,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333231793282579,41.130279200424027,0,,,53428,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33315249671621,41.130295359596737,0,,,53429,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333093478671557,41.130326300811198,0,,,53430,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333014180824193,41.130342459902735,0,,,53431,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332934884128917,41.130358618926159,0,,,53432,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332855586185985,41.130374777008548,0,,,53433,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332775925488036,41.130375878611602,0,,,53434,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33269626357837,41.130376979273152,0,,,53435,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33263688135392,41.130392862942401,0,,,53436,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332576771304403,41.130378630155874,0,,,53437,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332517025165188,41.130379455550987,0,,,53438,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332337059069573,41.130351816024728,0,,,53439,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33227695033078,41.130337583969087,0,,,53440,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332322371940862,41.130156200837753,0,,,53441,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332361110645564,41.130110476906701,0,,,53442,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332399849296721,41.130064752962227,0,,,53443,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332458503563117,41.130018753884848,0,,,53444,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332517521630422,41.129987812991601,0,,,53445,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332576174556067,41.12994181386744,0,,,53446,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33263519248159,41.129910872013248,0,,,53447,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332694210370065,41.129879931029123,0,,,53448,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33275322820343,41.129848990014665,0,,,53449,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332812245963439,41.129818048069524,0,,,53450,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332891178092822,41.129786831814343,0,,,53451,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332949831771543,41.129740832484849,0,,,53452,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33300884934323,41.129709890438676,0,,,53453,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333067502872026,41.129663891048693,0,,,53454,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333146434697227,41.1296326746183,0,,,53455,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333225367620599,41.129601457219771,0,,,53456,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333304663337969,41.129585297994339,0,,,53457,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333403874564169,41.129568864332867,0,,,53458,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333484627753705,41.129612936022042,0,,,53459,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33352591406819,41.129672617383342,0,,,53460,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.3335867531014,41.129716965189779,0,,,53461,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333627675420828,41.129761587400985,0,,,53462,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333668597813514,41.129806210497627,0,,,53463,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333941583043398,41.129561428746527,0,,,53464,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333983233933381,41.129636167256379,0,,,53465,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333984690772311,41.129696399199887,0,,,53466,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333966597413891,41.129771963821184,0,,,53467,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332271988529243,41.129720072700259,0,,,53468,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332487780317706,41.129581525327936,0,,,53469,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332782502918207,41.129411760464237,0,,,53470,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.332999384579495,41.129318385875841,0,,,53471,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333256823347881,41.129254575011934,0,,,53472,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333271276952914,41.129028431939936,0,,,53473,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33322780588469,41.128878402995717,0,,,53474,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333144869685455,41.128743983618584,0,,,53475,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333181422873537,41.128607911892964,0,,,53476,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333218339944921,41.128486898369097,0,,,53477,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333254892840017,41.128350826611509,0,,,53478,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333311723569807,41.128229537803811,0,,,53479,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333448213241596,41.128107146939506,0,,,53480,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333704190354652,41.127983104887079,0,,,53481,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333845414139461,41.128056465869243,0,,,53482,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333987730857373,41.128175001327882,0,,,53483,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333970366324991,41.128280682411109,0,,,53484,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333573164177466,41.128331363907122,0,,,53485,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333555434814087,41.128421985806689,0,,,53486,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333497146821642,41.128483043675146,0,,,53487,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333458773942496,41.128543826221829,0,,,53488,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333421493198074,41.128649781604096,0,,,53489,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333547536190622,41.128919172329162,0,,,53490,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333470789930701,41.12904073652858,0,,,53491,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333517902640068,41.129341343913481,0,,,53492,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.333579833689569,41.129430864566693,0,,,53493,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.33368159357039,41.129519835456485,0,,,53494,,ADR,,,999,,,KINDEL,RD,,LIMESTONE TWP,,
-79.447706670089659,41.357066816897714,0,,,53495,,ADR,,,93,,,MCCAULEY,RD,,WASHINGTON TWP,,
-79.321493815745697,41.385371613428937,0,,,53496,,ADR,,,8206,,,ROUTE 36,,,FARMINGTON TWP,,
-79.236469984586748,41.324963810206015,0,,,53367,,ADR,,,324,,,WOOD,LN,,FARMINGTON TWP,,
-79.52723782035396,41.228096450348573,0,,,53368,,ADR,,,942,,,POPETOWN,RD,,BEAVER TWP,,
-79.25300371898949,41.327385592465461,0,,,53369,,ADR,,,54,,,HEMLOCK,LN,,FARMINGTON TWP,,
-79.252537092121955,41.327383118191122,0,,,53370,,ADR,,,78,,,HEMLOCK,LN,,FARMINGTON TWP,,
-79.29735569256205,41.411108757325579,0,,,53371,,ADR,,,264,,,HERBERT,LN,,FARMINGTON TWP,,
-79.576641325331025,40.991328827272042,0,,,53372,,ADR,,,2833,,,ROUTE 68,,,BRADY TWP,,
-79.237254827972791,41.082515243517321,0,,,53373,,ADR,,,488,,,SHANNONDALE,RD,,REDBANK TWP,,
