X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-77.172175234060134,41.075447977830265,0,,,6211,,,,,0,,,,,,WASHINGTON,,
-77.219861723580365,41.121658250122316,0,,,6241,,,,,2999,,,QUARRY RD,,,,,
-77.245900003413098,41.147304823911107,0,,,6753,,,,,0,,,,,,,,
-77.239954478233258,41.140861267130823,0,,,6763,,,,,0,,,,,,,,
-77.240369991751933,41.141003181186313,0,,,6764,,,,,0,,,,,,,,
-77.2322095931126,41.133256419420093,0,,,6765,,,,,2288,,,RT 880 HWY,,,,,
-77.232093425435352,41.133715371687629,0,,,6766,,,,,21,,,MANTLE LN,,,,,
-77.232316193530181,41.134237011563719,0,,,6767,,,,,46,,,MANTLE LN,,,LIMESTONE,,
-77.232637923904576,41.134409836949771,0,,,6768,,,,,66,,,MANTLE LN,,,,,
-77.233376615255239,41.135109892415102,0,,,6769,,,,,138,,,MANTLE LN,,,LIMESTONE,,
-77.233657775701218,41.135479377633921,0,,,6770,,,,,167,,,MANTLE LN,,,LIMESTONE,,
-77.235875473848381,41.136809203428136,0,,,6771,,,,,0,,,,,,,,
-77.235382468858631,41.136946625900869,0,,,6772,,,,,0,,,,,,,,
-77.235512364242908,41.136817436624938,0,,,6773,,,,,0,,,,,,,,
-77.235359610435438,41.136852431811128,0,,,6774,,,,,0,,,,,,,,
-77.231542763360991,41.133342176115761,0,,,6976,,,,,2267,,,RT 880 HWY,,,,,
-77.501448132488093,41.354724645956175,0,,,3191,,,,,20200,,,N RT 44 HWY,,,MCHENRY,,
-77.217656479471913,41.119010799059829,0,,,6243,,,,,222,,,THOMAS LN,,,,,
-77.217170468449055,41.11863474538989,0,,,6244,,,,,266,,,THOMAS LN,,,,,
-77.231951110855078,41.132775701550955,0,,,6978,,,,,2299,,,RT 880 HWY,,,,,
-77.218868355165142,41.11916755547486,0,,,57280,,,,,200,,,THOMAS LN,,,,,
-77.215276216586091,41.116262219565947,0,,,57281,,,,,569,,,THOMAS LN,,,,,
-77.540908550656226,41.369881698558558,0,,,182,,,,,0,,,,,,,,
-77.558282170524862,41.404505592840735,0,,,293,,,,,0,,,,,,,,
-77.528136458734679,41.35898754708456,0,,,3183,,,,,0,,,,,,,,
-77.526668722530616,41.357970755974719,0,,,3184,,,,,0,,,,,,,,
-77.491927885795292,41.349101808230671,0,,,3203,,,,,0,,,,,,MCHENRY,,
-77.481311902086546,41.340886787870431,0,,,3218,,,,,0,,,,,,,,
-77.475291797925237,41.336738779782372,0,,,3220,,,,,0,,,,,,,,
-77.475139640154296,41.333092744896,0,,,3228,,,,,0,,,,,,,,
-77.474952035371146,41.334947552165481,0,,,3229,,,,,0,,,,,,,,
-77.47557823718796,41.326531136354291,0,,,3234,,,,,0,,,,,,,,
-77.472518349900312,41.315745596245492,0,,,3259,,,,,0,,,,,,,,
-77.472250223239399,41.313737791105389,0,,,3354,,,,,0,,,,,,,,
-77.472490679194465,41.314654209773991,0,,,3355,,,,,0,,,,,,,,
-77.472212190196601,41.314762976661598,0,,,3356,,,,,0,,,,,,,,
-77.472393063723786,41.31503152714626,0,,,3357,,,,,0,,,,,,,,
-77.448799547029239,41.29140529525322,0,,,3529,,,,,0,,,,,,,,
-77.449194927023314,41.291681135917067,0,,,3530,,,,,0,,,,,,,,
-77.449814002935426,41.29257406728928,0,,,3531,,,,,0,,,,,,,,
-77.451297789083128,41.293975455623652,0,,,3532,,,,,0,,,,,,,,
-77.455299800948026,41.30277530457699,0,,,3533,,,,,0,,,,,,,,
-77.455808012326983,41.303981145029681,0,,,3534,,,,,0,,,,,,,,
