X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-76.451564460823192,41.272022906383448,0,,,54777,,,,,4930,,,RT 239 HWY,,,JORDAN,,
-76.460075281663151,41.264470442076068,0,,,54778,,,,,3454,,,KELLER HOLLOW RD,,,,,
-76.46993549895592,41.256914665140037,0,,,55059,,,,,0,,,,,,,,
-76.462731857150715,41.262945965642892,0,,,55062,,,,,3280,,,KELLER HOLLOW RD,,,,,
-76.625372828611646,41.156178705190108,0,,,55669,,,,,1632,,,G WAGNER RD,,,,,
-76.537460141633844,41.200726833459548,0,,,55692,,,,,0,,,,,,,,
-76.538333898857488,41.200546157865567,0,,,55694,,,,,0,,,,,,,,
-76.554289404750591,41.187365959254819,0,,,55701,,,,,0,,,,,,,,
-76.526755902252148,41.209248233852861,0,,,55814,,,,,0,,,,,,,,
-76.468752926813252,41.257398982733463,0,,,56094,,,,,627,,,PETERMAN RD,,,,,
-76.522919962118849,41.213674567656945,0,,,55818,,,,,1397,,,CLYDE RD,,,,,
-76.523358287516842,41.213464383126755,0,,,55817,,,,,1394,,,CLYDE RD,,,,,
-76.631768205198696,41.155390129022841,0,,,56170,,,,,1330,,,G WAGNER RD,,,MORELAND,,
-76.508800328535301,41.224991754379033,0,,,55812,,,,,0,,,,,,,,
-76.514713540666662,40.956284530607967,0,,,,,HOME,,,,,,170 COUNTY LINE DR,,,BLOOMSBURG,,
-76.565655012815995,41.041840015548573,0,,,,,HOME,,,,,,189 ROBINSON RD,,,DANVILLE,,
-76.618410378131458,41.081766201049511,0,,,,,HOME,,,,,,CRAWFORD RD,,,,,
-76.619153848351459,41.081493865577265,0,,,,,HOME,,,,,,199 CRAWFORD RD,,,,,
-76.618224172576376,41.08040219010887,0,,,,,HOME,,,,,,185 CRAWFORD RD,,,BLOOMSBURG,,
-76.618564628240719,41.08009166067481,0,,,,,HOME,,,,,,CRAWFORD RD,,,,,
-76.616597350721676,41.07982902832169,0,,,,,HOME,,,,,,Out of County,,,BLOOMSBURG,,
-76.615688359383199,41.078424988922379,0,,,,,HOME,,,,,,Out of County,,,,,
-76.616043963354372,41.077406490700575,0,,,,,HOME,,,,,,Out of County,,,,,
-76.616328973196559,41.077088639869444,0,,,,,HOME,,,,,,Out of County,,,BLOOMSBURG,,
-76.213057195668071,40.967103150877307,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.22868863841785,41.032956113637667,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228603390360732,41.032330391321047,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228913427300142,41.056108895191379,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228759157343532,41.056715208427683,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.229219038101618,41.056729118710884,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.229083879071439,41.034620852629416,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.231003757373216,41.044594332080678,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228954056420676,41.05686320675067,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228632396896302,41.056956462561772,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.229141031737271,41.057148023961744,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.229240717954383,41.057479746065695,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.229017269438856,41.057405431392297,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.22911970574232,41.057432596641746,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228998721094186,41.057207676068174,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228877015605676,41.057282646321994,0,,,,,BLDG_ROOF,,,,,,,,,,,
-76.228733043175168,41.05737324100614,0,,,,,BLDG_ROOF,,,,,,,,,,,
