X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-78.417248541735802,41.239765345817744,0,,,7389419698,,1900,,,60,,,MEDIX RUN,RD,,,,
-78.353404753863316,41.237129912970005,0,,,8309206740,,1900,,,2531,,,JACK DENT,RD,,,,
-78.35373457908463,41.236868033459011,0,,,8309204568,,1900,,,2507,,,JACK DENT,RD,,,,
-78.355718796601479,41.236607379657649,0,,,8309109401,,1900,,,2399,,,JACK DENT,RD,,,,
-78.343395154869398,41.235572622784929,0,,,8309502091,,1900,,,5305,,,MUNN FARM,RD,,,,
-78.639035860152319,41.253671864332524,0,,,7329470340,,1900,,,222,,,BOONE MOUNTAIN,RD,,,,
-78.353692373200005,41.236924006579841,0,,,,,1901,,,,,,,,,,,
-78.55821493228224,41.363743826253156,0,,,7443676148,,1900,,,143,,,UPPER CHERRY,RD,0,,,
-78.518628225924033,41.478840123474171,0,,,7457798082,,1900,,,1107,,,STRAUB BEAR RUN,RD,0,,,
-78.676664501282744,41.372568773432874,0,,,7414401773,,1900,,,831,,,SHELVEY SUMMIT,RD,0,,,
-78.702040999341648,41.363207277912146,0,,,7403771369,,1900,,,13477,,,BOOT JACK,RD,0,,,
-78.703333098799533,41.363117253176313,0,,,7403678316,,1900,,,13413,,,BOOT JACK,RD,0,,,
-78.704609874952581,41.364035777759582,0,,,7403674760,,1900,,,13463,,,BOOT JACK,RD,0,,,
-78.539682436986013,41.418865821280129,0,,,7455179212,,1900,,,871,S,,MICHAEL,ST,0,,,
-78.541050848512796,41.41527362565607,0,,,7455155932,,1900,,,120,,,HEMLOCK,RD,0,,,
-78.264231070737551,41.356663807896311,0,,,8423733939,,1900,,,99,,,DENTS RUN,RD,0,,,
-78.822650559593455,41.422523625184333,0,,,6475493339,,1900,,,1967,,,BEAR CREEK,RD,0,SPRING CREEK,,
-78.567669264489169,41.364124601588102,0,,,7443470355,,1900,,,211,,,OAK,ST,0,,,
-78.587994567007016,41.587362743687422,0,,,7531982764,,1900,,,2926,,,MAPLE,LN,0,,,
-78.524236715268643,41.397858268159595,0,,,7454690583,,1900,,,445,,,MAPLEWOOD,RD,0,,,
-78.671072604096281,41.581451904023773,0,,,7511665811,,1900,,,1032,,,RASSELAS,RD,,JONES,8/31/2006,
-78.322046837905035,41.332615934677122,0,,,8412154303,,1900,,,13414,,,ROUTE 555,,,BENEZETTE,9/5/2006,
-78.600704218417789,41.350900887722723,0,,,7433429642,,1900,,,223,,,DAGUS MINES,RD,,FOX,,9/5/2006
-78.517664563659821,41.397793695674146,0,,,7454798499,,1900,,,339,S,,RIDGE,RD,,ST_MARYS,9/8/06,9/8/2006
-78.51819923986865,41.399812989815572,0,,,7455707253,,1900,,,250,,,LIBERTY ROAD,EXT,,ST_MARYS,9/8/06,9/8/2006
-78.59096808424674,41.576621435611486,0,,,7531844813,,1900,,,2213,,,MAPLE,LN,,JONES,9/14/06,9/14/2006
-78.532014952751993,41.468111229538025,0,,,7457451184,,1900,,,164,,,SHADY GROVE,RD,,ST_MARYS,9/18/06,9/19/2006
-78.935978455203582,41.389756904346093,0,,,6444370896,,1900,,,13811,,,RIVER,RD,,SPRING_CREEK,9/20/06,9/20/2006
-78.736408174618717,41.25074691584625,0,,,6399762562,,1900,,,60,,,CODER,RD,,HORTON,9/20/06,9/20/2006
-78.59728621113797,41.384935429625777,0,,,7434650001,,1900,,,267,,,BROWNS,RD,,FOX,10/13/2006,
-78.533833503996291,41.46209559081727,0,,,7457326966,,1900,,,110,,,CRYSTAL,RD,,ST_MARYS,10/11/2006,
-78.559821445197286,41.42823352321485,0,,,7446604628,,1905,,,211,,,DEPOT,ST,,ST_MARYS,11/8/2006,
-78.835051160074883,41.378249622405818,0,,,6474037320,,1900,,,34,,,RESERVOIR,RD,,SPRING_CREEK,11/20/06,11/20/2006
-78.699310929151352,41.27018391807475,0,,,7400735449,,1900,,,674,,,CROSS,RD,,HORTON,11/22/06,11/22/2006
-78.657971309790781,41.578166506389039,0,,,7521050588,,1900,,,3498,,,MEFFERTS RUN,RD,,JONES,12/4/2006,
-78.663336101099844,41.571974542826112,0,,,7511835394,,1900,,,2985,,,MEFFERTS RUN,RD,,JONES,12/4/2006,
-78.555900604781471,41.370068027676723,0,,,7443793408,,1900,,,1247,,,MILLION DOLLAR,HWY,,FOX,12/4/06,12/4/2006
-78.636581983033764,41.579065491575143,0,,,7521559845,,1900,,,6807,,,GLEN HAZEL,RD,,JONES,1/8/2007,
-78.587269224135682,41.600013033633672,0,,,7532935304,,1900,,,421,,,JERRY,RD,,JONES,1/8/2007,
-78.733556215218329,41.286961428655736,0,,,6490892701,,1900,,,1939,,,SHAWMUT,RD,,HORTON,1/8/2007,
-78.83409747140864,41.621127446589945,0,,,6573210799,,1900,,,364,,,PENNSYLVANIA,AVE,,HIGHLAND,1/8/2007,
-78.71053136587706,41.41412126478216,0,,,7405550947,,1900,,,1221,,,ROCKY,RD,,RIDGWAY_TOWNSHIP,2/13/2007,
-78.552960852689722,41.460705117195502,0,,,7447824510,,1900,,,1145,,,DELAUM,RD,,ST_MARYS,2/20/2007,
-78.458184839670494,41.279669417229243,0,,,7470368351,,9996,,,170,,,BADGER RUN,RD,,JAY,2/27/2007,
-78.460790539757852,41.285964516199726,0,,,7470381651,,9996,,,2932,,,RIVER,RD,,JAY,2/27/2007,
-78.471213123783656,41.278526411429979,0,,,7470052973,,9996,,,1760,,,RIVER,RD,,JAY,2/27/2007,
-78.521038349232469,41.248656889365535,0,,,7359654186,,9996,,,16452,,,BENNETTS VALLEY,HWY,,JAY,2/27/2007,
-78.718588503765474,41.36068877494305,0,,,7403266512,,1900,,,767,,,GERMAN SETTLEMENT,RD,,HORTON,3/2/2007,
-78.645126521589233,41.419276170411713,0,,,7425370605,,1900,,,3106,,,STATE,ST,,ST_MARYS,3/8/2007,
-78.314921329443735,41.343295141009236,0,,,8412393280,,1900,,,5533,,,WINSLOW HILL,RD,,BENEZETTE,3/9/2007,
-78.363483260171819,41.366506381710153,0,,,8403071705,,1900,,,5892,,,DENTS RUN,RD,,BENEZETTE,,
-78.258478370367555,41.366761856147072,0,,,8423879636,,1900,,,692,,,HICKS RUN,RD,,BENEZETTE,,
-78.258390991553085,41.366540257341448,0,,,8423879558,,1900,,,676,,,HICKS RUN,RD,,BENEZETTE,,
-78.259336889498499,41.366333080980674,0,,,8423876590,,1900,,,689,,,HICKS RUN,RD,,BENEZETTE,,
-78.369561717493454,41.365709994080724,0,,,7493874437,,1900,,,6308,,,DENTS RUN,RD,,BENEZETTE,,
-78.258061428739751,41.366214286428516,0,,,8423970446,,1900,,,646,,,HICKS RUN,RD,,BENEZETTE,,
-78.36393922723552,41.365259963589118,0,,,7493979370,,1900,,,5913,,,DENTS RUN,RD,,BENEZETTE,,
-78.37103263474792,41.365099616211815,0,,,7493870235,,1900,,,208,,,MCNEELEY,RD,,BENEZETTE,,
-78.257164920736855,41.365634891797697,0,,,8423972285,,1900,,,584,,,HICKS RUN,RD,,BENEZETTE,,
-78.256948181797256,41.365454688085855,0,,,8423973148,,1902,,,568,,,HICKS RUN,RD,,BENEZETTE,,
-78.366543045195101,41.364801800510854,0,,,7493972164,,1900,,,6046,,,DENTS RUN,RD,,BENEZETTE,,
-78.257860192757747,41.365283017010192,0,,,8423970192,,1900,,,595,,,HICKS RUN,RD,,BENEZETTE,,
-78.396394824853175,41.403878857490895,0,,,7495111473,,1900,,,11970,,,DENTS RUN,RD,,BENEZETTE,,
-78.256850816814904,41.404138011641045,0,,,8425914257,,1900,,,147,,,BARR,LN,,BENEZETTE,,
-78.254418011459506,41.404049400182174,0,,,8435011224,,1900,,,14,,,BARR,LN,,BENEZETTE,,
-78.269566017389792,41.4037357376817,0,,,8425519165,,1900,,,4084,,,HUSTON HILL,RD,,BENEZETTE,,
-78.317368989897119,41.402522998855396,0,,,8415208759,,1900,,,2972,W,,BRANCH,RD,,BENEZETTE,,
-78.255689157707494,41.402595724848673,0,,,8425907771,,1900,,,333,,,THOMAS,RD,,BENEZETTE,,
-78.317888902385178,41.402148047694496,0,,,8415207605,,1900,,,3020,W,,BRANCH,RD,,BENEZETTE,,
-78.254746324051155,41.402053372543826,0,,,8435000531,,1900,,,308,,,THOMAS,RD,,BENEZETTE,,
-78.317733815719095,41.401749812460523,0,,,8415207551,,1900,,,2973,W,,BRANCH,RD,,BENEZETTE,,
-78.274479909420307,41.401329308378166,0,,,8425406218,,1900,,,4419,,,HUSTON HILL,RD,,BENEZETTE,,
-78.267725341139212,41.400857558088958,0,,,8425604160,,1900,,,4028,,,HUSTON HILL,RD,,BENEZETTE,,
-78.390987221677733,41.39978054037941,0,,,7494296943,,1900,,,11550,,,DENTS RUN,RD,,BENEZETTE,,
-78.265257605543525,41.400205911245195,0,,,8424791845,,1900,,,3576,,,HUSTON HILL,RD,,BENEZETTE,,
-78.317560918924315,41.399664868011392,0,,,8414297795,,1900,,,2775,W,,BRANCH,RD,,BENEZETTE,,
-78.389630838726731,41.399202508112822,0,,,7494390712,,1900,,,11454,,,DENTS RUN,RD,,BENEZETTE,,
-78.390750384472966,41.398667676400621,0,,,7494297512,,1900,,,11477,,,DENTS RUN,RD,,BENEZETTE,,
-78.267562842921649,41.398898389489524,0,,,8424695308,,1900,,,3894,,,HUSTON HILL,RD,,BENEZETTE,,
-78.263059458213021,41.398645459468867,0,,,8424797248,,1900,,,3540,,,HUSTON HILL,RD,,BENEZETTE,,
-78.267614440420985,41.39851688564822,0,,,8424694294,,1900,,,3868,,,HUSTON HILL,RD,,BENEZETTE,,
-78.26028229645739,41.39822054995728,0,,,8424895102,,1900,,,3426,,,HUSTON HILL,RD,,BENEZETTE,,
-78.259215148391149,41.398200897903592,0,,,8424897191,,1900,,,3370,,,HUSTON HILL,RD,,BENEZETTE,,
-78.267406993876833,41.398158355046959,0,,,8424695141,,1900,,,3796,,,HUSTON HILL,RD,,BENEZETTE,,
-78.259805831309791,41.398170923658192,0,,,8424896130,,1900,,,3400,,,HUSTON HILL,RD,,BENEZETTE,,
-78.255231798464692,41.398146505834063,0,,,8424998089,,1900,,,3162,,,HUSTON HILL,RD,,BENEZETTE,,
-78.257892429273596,41.39780441149631,0,,,8424981957,,1900,,,3301,,,HUSTON HILL,RD,,BENEZETTE,,
-78.259248711359305,41.397792214663909,0,,,8424887987,,1900,,,3373,,,HUSTON HILL,RD,,BENEZETTE,,
-78.444611131546452,41.441783936967482,0,,,7476850365,,1900,,,2100,,,BUCKTAIL,RD,,ST_MARYS,,
-78.555093236149872,41.389593520930951,0,,,7444765599,,1900,,,120,,,ARBUTUS,LN,,FOX,,
-78.562652145663051,41.364083956417012,0,,,7443574332,,1900,,,164,,,BADEAU,LN,,FOX,,
-78.562635676951558,41.364954797738534,0,,,7443574644,,1900,,,224,,,HILLTOP,DR,,FOX,,
-78.5353220094742,41.468618998724374,0,,,7457352384,,1900,,,101,,,MASON,RD,,ST_MARYS,,
-78.57197951471413,41.412616964948604,0,,,7445350043,,1900,,,141,,,MUENSTER,RD,,ST_MARYS,,
-78.595832146756933,41.354515761127324,0,,,7433632992,,1900,,,123,,,MEREDITH,RD,,FOX,,
-78.460904344953988,41.327729764727053,0,,,7472332853,,1900,,,2739,,,SPRING RUN,RD,,JAY,,
-78.364774174427367,41.330873173121752,0,,,7492946767,,1900,,,328,,,TUCKER,LN,,BENEZETTE,,
-78.502829524649925,41.426407605393386,0,,,7465290858,,1900,,,105,,,ORCHARD,RD,,ST_MARYS,,
-78.690488354719335,41.571762910713048,0,,,7511131364,,1900,,,326,,,BUENA VISTA,HWY,,JONES,,
-78.513141450681957,41.397285523693462,0,,,7454991229,,1900,,,1211,,,ROBIN,RD,,JAY,,
-78.502193749564668,41.420972672178408,0,,,7465272900,,1900,,,1201,E,,ESCHBACH,RD,,ST_MARYS,,
-78.523268469718388,41.422948639266366,0,,,7455684637,,1900,,,1066,,,TROUT RUN,RD,,ST_MARYS,,
-78.521859386945835,41.443437368797838,0,,,7456668183,,1900,,,245,,,BENZINGER,RD,,ST_MARYS,,
-78.564227848026277,41.441016701856185,0,,,7446552365,,1900,,,627,,,FOX,RD,,ST_MARYS,,
-78.572305070079352,41.452757431761398,0,,,7446390695,,1900,,,833,,,SILVER CREEK,RD,,ST_MARYS,,
-78.569462923659444,41.451727198565905,0,,,7446398267,,1900,,,827,,,SILVER CREEK,RD,,ST_MARYS,,
-78.563515147279702,41.458636297738721,0,,,7447515717,,1900,,,750,N,,SAINT MARYS,ST,,ST_MARYS,,
-78.557853962305472,41.429425153501064,0,,,7446619171,,1900,,,104,,,ERIE,AVE,,ST_MARYS,,
-78.240373515128354,41.259054536830149,0,,,8339386379,,1900,,,11983,,,QUEHANNA,HWY,,BENEZETTE,,
-78.567725391710894,41.47518594908788,0,,,7447474821,,1900,,,1151,,,WINDFALL,RD,,ST_MARYS,,
-78.986067518425074,41.390030661249966,0,,,6424983145,,1900,,,259,,,ORCHARD BEND,RD,,MILLSTONE,,
-78.985204660175455,41.389669734992168,0,,,6424985081,,1900,,,253,,,ORCHARD BEND,RD,,MILLSTONE,,
-78.985914979890723,41.390505986572272,0,,,6424983392,,1900,,,231,,,ORCHARD BEND,RD,,MILLSTONE,,
-78.985779745320926,41.390395037546689,0,,,6424984238,,1900,,,233,,,ORCHARD BEND,RD,,MILLSTONE,,
-78.685948536206396,41.369838314178295,0,,,7413196716,,1900,,,3254,,,ELK,DR,,RIDGWAY_TOWNSHIP,,
-78.614753602383743,41.310562179344927,0,,,7431079936,,1900,,,4766,,,BOONE MOUNTAIN,RD,,FOX,,
-78.501557252515084,41.287208451605338,0,,,7460199156,,1900,,,19856,,,BENNETTS VALLEY,HWY,,JAY,,
-78.566812415933526,41.466181150388323,0,,,7447446543,,1900,,,109,,,TAFT,RD,,ST_MARYS,,
-78.696987226302113,41.335259796523715,0,,,7402874149,,1900,,,6586,,,SHAWMUT,RD,,HORTON,,
-78.801002466665409,41.605511293372899,0,,,6582150978,,1900,,,5030,,,HIGHLAND,RD,,JONES,,
-78.520066910023544,41.432259158674484,0,,,7456723045,,1900,,,1361,,,BUCKTAIL,RD,,ST_MARYS,,
-78.555372294721366,41.429305183032653,0,,,7446716056,,1900,,,204,,,4TH,ST,,ST_MARYS,,
-78.544471401345149,41.355888849233679,0,,,7453043299,,1900,,,1397,,,MILLION DOLLAR,HWY,,FOX,,
-78.723849975656208,41.243179335326786,0,,,7309036793,,1900,,,301,,,ORCHARD,RD,,HORTON,,
-78.755817738028128,41.425561478931833,0,,,6496206277,,1900,,,185,,,AMACHER,RD,,RIDGWAY_TOWNSHIP,,
-78.717758472084981,41.411151608120072,0,,,7405340951,,1900,,,1121,,,HYDE,AVE,,RIDGWAY_TOWNSHIP,,
-78.741151789147722,41.460548080052682,0,,,6497628948,,1900,,,499,,,OKNEFSKI,RD,,RIDGWAY_TOWNSHIP,,
-78.682449106834824,41.575169458630562,0,,,7511343576,,1900,,,46,,,HIGH,ST,,JONES,,
-78.656472867265961,41.344674242699291,0,,,7413906500,,1900,,,782,,,BRANDY CAMP,RD,,FOX,,
-78.530709374529224,41.468093873361525,0,,,7457455143,,1900,,,272,,,SHADY GROVE,RD,,ST_MARYS,,
-78.529563092102208,41.468128810388549,0,,,7457458154,,1900,,,314,,,SHADY GROVE,RD,,ST_MARYS,,
-78.549515226694936,41.430506718716742,0,,,7446912469,,1900,,,474,,,SCHISSLE,ST,,ST_MARYS,,
-78.261554046984685,41.397774535838039,0,,,8424881956,,1900,,,3491,,,HUSTON HILL,RD,,BENEZETTE,,
-78.255110100598998,41.397752863021722,0,,,8424989924,,1900,,,3157,,,HUSTON HILL,RD,,BENEZETTE,,
-78.25470761590627,41.397734011775469,0,,,8434080934,,1900,,,3137,,,HUSTON HILL,RD,,BENEZETTE,,
-78.260756501195203,41.39768582313021,0,,,8424883973,,1900,,,3451,,,HUSTON HILL,RD,,BENEZETTE,,
-78.257400049255622,41.397655878665624,0,,,8424982991,,1900,,,3275,,,HUSTON HILL,RD,,BENEZETTE,,
-78.256520364202942,41.397657042989792,0,,,8424985931,,1900,,,3231,,,HUSTON HILL,RD,,BENEZETTE,,
-78.258529676290252,41.397480773401355,0,,,8424889885,,1900,,,3335,,,HUSTON HILL,RD,,BENEZETTE,,
-78.264065776584076,41.39733348863831,0,,,8424784861,,1900,,,3597,,,HUSTON HILL,RD,,BENEZETTE,,
-78.285535318245394,41.397174514280643,0,,,8424185778,,1900,,,480,E,,HICKS RUN,RD,,BENEZETTE,,
-78.261025153920727,41.397212694510067,0,,,8424882796,,1900,,,1047,,,BUFFALO,RD,,BENEZETTE,,
-78.35669721192194,41.396397312471173,0,,,8404280643,,1900,,,3462,,,BELL DRAFT,RD,,BENEZETTE,,
-78.259689755611703,41.396782937704785,0,,,8424886660,,1900,,,3381,,,HUSTON HILL,RD,,BENEZETTE,,
-78.261655199353271,41.396341664723849,0,,,8424881424,,1900,,,1110,,,BUFFALO,RD,,BENEZETTE,,
-78.261604466483192,41.395788841567416,0,,,8424881234,,1900,,,1148,,,BUFFALO,RD,,BENEZETTE,,
-78.261002989820639,41.395560847770334,0,,,8424883106,,1900,,,1163,,,BUFFALO,RD,,BENEZETTE,,
-78.261559709151513,41.395113516832751,0,,,8424871949,,1900,,,1196,,,BUFFALO,RD,,BENEZETTE,,
-78.257211688151813,41.395028282780828,0,,,8424973936,,1900,,,1497,,,BUFFALO,RD,,BENEZETTE,,
-78.257978430238637,41.394580755364316,0,,,8424971729,,1900,,,1383,,,BUFFALO,RD,,BENEZETTE,,
-78.388156852570461,41.393761866591497,0,,,7494374703,,1900,,,11111,,,DENTS RUN,RD,,BENEZETTE,,
-78.385518480530934,41.392950943697471,0,,,7494471433,,1900,,,10948,,,DENTS RUN,RD,,BENEZETTE,,
-78.360918162830671,41.39196220369741,0,,,8404078072,,1900,,,4247,,,BELL DRAFT,RD,,BENEZETTE,,
-78.282108559622714,41.389473678423215,0,,,8424254997,,1900,,,3040,,,BARR HOLLOW,RD,,BENEZETTE,,
-78.281175265140092,41.388840426098533,0,,,8424257754,,1900,,,3002,,,HICKS RUN,RD,,BENEZETTE,,
-78.301392712440645,41.388330819386503,0,,,8414752509,,1900,,,1611,W,,BRANCH,RD,,BENEZETTE,,
-78.280008929878107,41.387722751723402,0,,,8424350363,,1900,,,2811,,,HICKS RUN,RD,,BENEZETTE,,
-78.343464468649742,41.387321942669445,0,,,8404556350,,1900,,,2430,,,BELL DRAFT,RD,,BENEZETTE,,
-78.301058156278856,41.385939611572624,0,,,8414742782,,1900,,,1433,W,,BRANCH,RD,,BENEZETTE,,
-78.292561972903471,41.383864033108473,0,,,8414936915,,1900,,,857,W,,BRANCH,RD,,BENEZETTE,,
-78.279115781842549,41.383771237737292,0,,,8424333809,,1900,,,2479,,,HICKS RUN,RD,,BENEZETTE,,
-78.345226845773283,41.382762666206844,0,,,8404531664,,1900,,,166,,,TOTE,RD,,BENEZETTE,,
-78.34555486949391,41.381966685824338,0,,,8404530365,,1900,,,234,,,TOTE,RD,,BENEZETTE,,
-78.379886384612149,41.380601863346371,0,,,7494526942,,1900,,,10059,,,DENTS RUN,RD,,BENEZETTE,,
-78.278759104013233,41.380531273215198,0,,,8424323791,,1900,,,20,W,,BRANCH,RD,,BENEZETTE,,
-78.277640947200638,41.380497787245176,0,,,8424327609,,1900,,,2254,,,HICKS RUN,RD,,BENEZETTE,,
-78.393258229724552,41.379333385846301,0,,,7494129478,,1900,,,835,,,LITTLE DENTS,RD,,BENEZETTE,,
-78.393718578112654,41.379322779050909,0,,,7494128448,,1900,,,854,,,LITTLE DENTS,RD,,BENEZETTE,,
-78.276896121624077,41.379797475712657,0,,,8424329404,,1900,,,2204,,,HICKS RUN,RD,,BENEZETTE,,
-78.3797016897296,41.378984415563245,0,,,7494526393,,1900,,,10051,,,DENTS RUN,RD,,BENEZETTE,,
-78.338350991785134,41.379195892534575,0,,,8404720333,,1900,,,1858,,,BELL DRAFT,RD,,BENEZETTE,,
-78.277295064270135,41.379386516988177,0,,,8424327299,,1900,,,2164,,,HICKS RUN,RD,,BENEZETTE,,
-78.391965502147812,41.378741501527919,0,,,7494223227,,1900,,,742,,,LITTLE DENTS,RD,,BENEZETTE,,
-78.395686637431069,41.378717141500516,0,,,7494123207,,1900,,,763,,,LITTLE DENTS,RD,,BENEZETTE,,
-78.318809682694976,41.3782701103218,0,,,8414213995,,1900,,,1069,,,MCDONALD DRAFT,RD,,BENEZETTE,,
-78.276762275281229,41.378282944344221,0,,,8424319839,,1900,,,2066,,,HICKS RUN,RD,,BENEZETTE,,
-78.278455057540938,41.377412631481398,0,,,8424314577,,1900,,,11,W,,BRANCH,RD,,BENEZETTE,,
-78.380424995200926,41.376378147879755,0,,,7494514388,,1900,,,42,,,LITTLE DENTS,RD,,BENEZETTE,,
-78.381100561645951,41.376082374130952,0,,,7494512298,,1900,,,77,,,LITTLE DENTS,RD,,BENEZETTE,,
-78.382259066595211,41.374696114288604,0,,,7494409777,,1900,,,18,,,LELAND,RD,,BENEZETTE,,
-78.381648365759375,41.374163464901216,0,,,7494501548,,1900,,,69,,,LELAND,RD,,BENEZETTE,,
-78.381356838150637,41.373380738995721,0,,,7494502229,,1900,,,131,,,LELAND,RD,,BENEZETTE,,
-78.375692506080341,41.372380242795153,0,,,7493697972,,1900,,,6900,,,DENTS RUN,RD,,BENEZETTE,,
-78.71158557567874,41.578535041520517,0,,,7501554827,,1900,,,1182,,,LOCKES HILL,RD,,JONES,,
-78.672588030515527,41.48681156626936,0,,,7418527334,,1900,,,707,,,1ST,AVE,,JOHNSONBURG,,
-78.690913100917641,41.479594627764143,0,,,7417096786,,1900,,,326,,,TERRA COTTA,RD,,JOHNSONBURG,,
-78.707399968338038,41.410209857447803,0,,,7405548583,,1900,,,115,,,CLEARVIEW,DR,,RIDGWAY_TOWNSHIP,,
-78.74609523085492,41.468035790069457,0,,,6497555712,,1900,,,99,,,HARDWOOD,DR,,RIDGWAY_TOWNSHIP,,
-78.318926830855446,41.343529350447888,0,,,8412292380,,1900,,,5328,,,WINSLOW HILL,RD,,BENEZETTE,,
-78.32186162491017,41.34307458297944,0,,,8412194174,,1900,,,88,,,BLACKSNAKE,RD,,BENEZETTE,,
-78.352006578464298,41.351535152550809,0,,,8403322228,,1900,,,374,,,ELK HORN,DR,,BENEZETTE,,
-78.353663399818586,41.34950477486548,0,,,8403217564,,1900,,,129,,,ELK HORN,DR,,BENEZETTE,,
-78.400835684931991,41.274641446763873,0,,,7480946306,,1900,,,21968,,,QUEHANNA,HWY,,BENEZETTE,,
-78.756703141266613,41.434988601758683,0,,,6496234761,,1900,,,4050,,,GRANT,RD,,RIDGWAY_TOWNSHIP,,
-78.420428845979501,41.280381200938507,0,,,7480462439,,1900,,,156,,,WAPITI WOODS,WAY,,BENEZETTE,,
