X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-79.094476912327039,41.367067405832209,0,,,5494904272,,1900,,,1684,,,BLOOD,RD,,MILLSTONE,,
-79.094365885296682,41.367276583220296,0,,,5494905300,,1901,,,,,,,,,,,
-79.435405006138154,41.625659191011181,0,,,39391,,ADR,TD-004-643500,,,,,FAGUNDUS,LN,,TRIUMPH TWP,,
-79.400147949802189,41.62608163409292,0,,,39395,,DEL,TD-545-635900,,,,,,,,LIMESTONE TWP,,
-79.505550939558077,41.624483161350689,0,,,39396,,NA,TV-006-664300,,,,,,,,SOUTHWEST TWP,,
-79.505356405802488,41.624498867930733,0,,,39397,,NA,TV-006-664300,,,,,,,,SOUTHWEST TWP,,
-79.113045801166649,41.626112269095792,0,,,39471,,NA,,,,,,,,,OUT OF COUNTY,,
-79.114907037108779,41.625536701604581,0,,,39477,,NA,,,,,,,,,OUT OF COUNTY,,
-79.114942958741125,41.625338351747473,0,,,39479,,NA,,,,,,,,,OUT OF COUNTY,,
-79.082853214196376,41.625589117714767,0,,,39480,,NA,,,,,,,,,OUT OF COUNTY,,
-79.033989584603802,41.624468525956509,0,,,39481,,DEL,,,,,,,,,OUT OF COUNTY,,
-79.033794597007017,41.624259676949663,0,,,39482,,DEL,,,,,,,,,OUT OF COUNTY,,
-79.400584264992958,41.626072127438484,0,,,55908,,OUT,TD-545-635900,,,,,,,,LIMESTONE TWP,,
-79.112878689000325,41.325403858339783,0,,,,,,,,,,,,,,,,
-79.112509364838957,41.325400419642349,0,,,,,,,,,,,,,,,,
-79.11407007987809,41.325487129874503,0,,,,,,,,,,,,,,,,
-79.113692918561441,41.32553798268335,0,,,,,,,,,,,,,,,,
-79.114207718228968,41.32562305996737,0,,,,,,,,,,,,,,,,
-79.114547833261526,41.325735689518368,0,,,,,,,,,,,,,,,,
-79.114208091719647,41.325835586005965,0,,,,,,,,,,,,,,,,
-79.115061691257367,41.326084233717204,0,,,,,,,,,,,,,,,,
-79.114056146678834,41.326204438624394,0,,,,,,,,,,,,,,,,
-79.115235129952509,41.326234629573598,0,,,,,,,,,,,,,,,,
-79.191045522516603,41.325375768899129,0,,,,,,,,,,,,,,,,
-79.114357789640678,41.326401034005706,0,,,,,,,,,,,,,,,,
-79.115439117100067,41.326465338321384,0,,,,,,,,,,,,,,,,
-79.110840325905968,41.3265671340531,0,,,,,,,,,,,,,,,,
-79.109926185181848,41.326623668587963,0,,,,,,,,,,,,,,,,
-79.110939061667665,41.326683241570855,0,,,,,,,,,,,,,,,,
