X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-80.516195838353283,39.828658110767428,0,,,1199126690,,Address Questionable,01-02-0146,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.515989503702087,39.828537334047155,0,,,1199127556,,Not Addressable,01-02-0146,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.510993936135506,39.827555588210572,0,,,1199321146,,Not Addressable,01-02-0148,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.500513668853458,39.824853701426896,0,,,1199610058,,Not Addressable,01-02-0153,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.500412180970798,39.825051111766236,0,,,1199610185,,Address Questionable,01-02-0153,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.513162932817153,39.818963281809189,0,,,1198294035,,Not Addressable,01-03-0101,,0,,,PALMER,RD,,ALEPPO TWP,,
-80.5129867981762,39.818722761724992,0,,,1198284986,,Not Addressable,01-03-0101,,0,,,PALMER,RD,,ALEPPO TWP,,
-80.504056463998367,39.815965243497153,0,,,1198479858,,Not Addressable,01-03-0116-B,,0,,,BRIGGS,RD,,ALEPPO TWP,,
-80.503939977561274,39.815980706384288,0,,,1198479898,,Not Addressable,01-03-0116-B,,0,,,BRIGGS,RD,,ALEPPO TWP,,
-80.502854755763551,39.819323022388502,0,,,1198593039,,Address Questionable,01-03-0118-A,,0,,,BRIGGS,RD,,ALEPPO TWP,,
-80.511470174416132,39.793152931962922,0,,,1197296613,,Not Addressable,01-03-0109,,0,,,HARTS RUN,RD,,ALEPPO TWP,,
-80.512488596478036,39.801832917334544,0,,,1198224820,,Not Addressable,01-03-0106,,0,,,PALMER,RD,,ALEPPO TWP,,
-80.508589415752908,39.794560206002586,0,,,1198304142,,Not Addressable,01-03-0140,,0,,,HARTS RUN,RD,,ALEPPO TWP,,
-80.502941663549052,39.796299867533449,0,,,1198500741,,Gone,01-03-0140,,0,,,HARTS RUN,RD,,ALEPPO TWP,,
-80.50558117736287,39.781922342310459,0,,,1197451449,,Not Addressable,23-02-0122,,0,,,MORFORD,RD,,SPRINGHILL TWP,,
-80.505513900362388,39.781151670625071,0,,,1197451251,,Not Addressable,23-02-0122,,0,,,MORFORD,RD,,SPRINGHILL TWP,,
-80.500826444674772,39.785217069886492,0,,,1197565615,,Not Addressable,23-02-0123,,0,,,MORFORD,RD,,SPRINGHILL TWP,,
-80.510075063443466,39.828057999354456,0,,,1199324303,,Not Addressable,01-02-0154,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.447086820021596,39.824274594306353,0,,,2119100441,,Not Addressable,01-04-0110,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.447741817410815,39.82406419387452,0,,,2119008364,,Not Addressable,01-04-0110,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.449216506521111,39.823463100712722,0,,,2119004133,,Not Addressable,01-04-0109-A,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.497614986408976,39.831577663993961,0,,,1199639540,,Not Addressable,01-02-0158,,0,,,LOUGH,RD,,ALEPPO TWP,,
-80.495261452181552,39.832369266948973,0,,,1199736717,,Not Addressable,01-02-0159-A,,0,,,LOUGH,RD,,ALEPPO TWP,,
-80.495651099481435,39.83228564946225,0,,,1199735704,,Not Addressable,01-02-0159-A,,0,,,LOUGH,RD,,ALEPPO TWP,,
-80.49896302087754,39.825000666489295,0,,,1199614192,,Not Addressable,01-02-0153,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.498213107102913,39.817922029481267,0,,,1198686524,,Not Addressable,01-03-0119,,0,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.49187849539463,39.776247073152504,0,,,1197739321,,Addressed,23-02-0145,,0,,,COON RUN,RD,,SPRINGHILL TWP,,
-80.489775991223624,39.809315938757109,0,,,1198858393,,Not Addressable,01-03-0125,,0,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.489561060303444,39.809278037879245,0,,,1198859351,,Not Addressable,01-03-0125,,0,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.490063753430448,39.809151217037311,0,,,1198858207,,Not Addressable,01-03-0129,,0,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.484815687424359,39.826086425346936,0,,,2109014379,,Not Fully Addressed,01-02-0164,,0,,,GUN HILL,RD,,ALEPPO TWP,,
-80.484614477674995,39.826146093284265,0,,,2109015431,,Not Addressable,01-02-0164,,0,,,GUN HILL,RD,,ALEPPO TWP,,
-80.470997524159742,39.835662792669943,0,,,2109444766,,Not Fully Addressed,01-02-0175,,192,,,MUDLICK,RD,,ALEPPO TWP,,
-80.455083542558256,39.842689022436289,0,,,2109970108,,Gone,01-01-0103,,0,,,ALEPPO,RD,,ALEPPO TWP,,
-80.452841860574935,39.838874644100059,0,,,2109955797,,Addressed,01-01-0120,,1775,,,ALEPPO,RD,,ALEPPO TWP,,
-80.452322861339439,39.817200623008738,0,,,2108974898,,Not Addressable,01-04-0105,,0,,,RIGGLE,RD,,ALEPPO TWP,,
-80.45587091373649,39.816421343893161,0,,,2108874692,,Not Addressable,01-04-0103,,0,,,RIGGLE,RD,,ALEPPO TWP,,
-80.458106851591538,39.813969762925545,0,,,2108768735,,Not Addressable,01-04-0104,,0,,,RIGGLE,RD,,ALEPPO TWP,,
-80.464362094030406,39.808408047690783,0,,,2108640718,,Not Addressable,01-03-0154-A,,0,,,RIGGLE,RD,,ALEPPO TWP,,
-80.470981266674869,39.811540910741428,0,,,2108451998,,Not Addressable,01-03-0149,,0,,,STROPE,RD,,ALEPPO TWP,,
-80.450327041210301,39.822954134919634,0,,,2118091925,,Addressed,01-04-0108,,1011,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.44684634507631,39.824227929275075,0,,,2119101319,,Addressed,01-04-0110,,1054,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.443172106314336,39.821941034571225,0,,,2118291512,,Addressed,01-04-0114-A,,0,,,ALEPPO,RD,,ALEPPO TWP,,
-80.463163880984197,39.807806812162539,0,,,2108643545,,Gone,01-03-0155,,122,,,RIGGLE,RD,,ALEPPO TWP,,
-80.508647941932239,39.803162907444559,0,,,1198335225,,Addressed,01-03-0112,,160,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.506968226346885,39.804406975284444,0,,,1198430609,,Addressed,01-03-0113,,180,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.512325345315233,39.801423278753738,0,,,1198224675,,Addressed,01-03-0111,,214,,,PALMER,RD,,ALEPPO TWP,,
-80.509815461094306,39.827946091476328,0,,,1199324279,,Addressed,01-02-0154,,219,,,GREENE VALLEY,RD,,ALEPPO TWP,,
-80.495128228384445,39.807730909574801,0,,,1198743870,,Addressed,01-03-0128,,260,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.499217540705644,39.833552221851122,0,,,1199645214,,Addressed,01-02-0159,,273,,,LOUGH,RD,,ALEPPO TWP,,
-80.455078870772098,39.81626534925082,0,,,2108877516,,Addressed,01-04-0103,,331,,,RIGGLE,RD,,ALEPPO TWP,,
-80.510804897776097,39.769346877623335,0,,,1197205936,,Not Addressable,23-02-0114,,0,,,ISIMINGER,RD,,SPRINGHILL TWP,,
-80.516223528461822,39.811722632593046,0,,,1198164494,,Addressed,01-03-0105,,363,,,PALMER,RD,,ALEPPO TWP,,
-80.490544594898182,39.809215669682764,0,,,1198856370,,Addressed,01-03-0129,,366,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.47626596997921,39.76561742148747,0,,,2106291390,,Addressed,23-03-0150,,371,,,WINDY GAP,RD,,SPRINGHILL TWP,,
-80.489765425075518,39.811664287953064,0,,,1198869128,,Addressed,01-03-0125,,389,,,QUIET DELL,RD,,ALEPPO TWP,,
-80.457517950467917,39.830204955221255,0,,,2109821686,,Gone,01-01-0109-B,,390,,,FAIRVIEW,RD,,ALEPPO TWP,,
-80.505840864972797,39.781391942344989,0,,,1197450360,,Addressed,23-02-0122,,391,,,MORFORD,RD,,SPRINGHILL TWP,,
-80.454829398953038,39.820096348520117,0,,,2108888925,,Addressed,01-04-0102,,393,,,RIGGLE,RD,,ALEPPO TWP,,
-80.502966369096711,39.784297938765064,0,,,1197469304,,Addressed,23-02-0123,,445,,,MORFORD,RD,,SPRINGHILL TWP,,
-80.513195360464039,39.818413873359866,0,,,1198284815,,Addressed,01-03-0101,,459,,,PALMER,RD,,ALEPPO TWP,,
-80.49833708963854,39.789244688262059,0,,,1197682160,,Addressed,23-02-0124-A,,523,,,MORFORD,RD,,SPRINGHILL TWP,,
