X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-78.237032943671153,40.226591708960427,0,,,8332255707,ALAN,RESIDENCE,,,236,,,POWER PLANT,RD,,LIBERTY TWP,,
-77.957892271629802,40.10856832443929,0,,,,,SFD,,,524,,,PARKS,RD,,DUB,,
-78.086009995409398,40.137419715893742,0,,,,,SFD,,,334,,,HOOVER,RD,,WEL,,
-78.071905300733434,40.132421167645489,0,,,,,SFD,,,185,,,ZION CHURCH,RD,,TAY,,
-78.070477945156668,40.132117528185454,0,,,,,SFD,,,174,,,ZION CHURCH,RD,,TAY,,
-78.07119073889352,40.132083159871549,0,,,,ZION ME,Public,,,155,,,ZION CHURCH,RD,,TAY,,
-77.983189923024611,40.113695407694969,0,,,,CLARK,SFD,,,133,,,MAPLE LEAF,LN,,TAY,,
-77.984905750457202,40.114191621309971,0,,,,MURPHY,SFD,,,167,,,CROMWELL RIDGE,RD,,TAY,,
-77.98620088987704,40.11431493112029,0,,,,FISHER,SFD,,,192,,,CROMWELL RIDGE,RD,,TAY,,
-77.87757919129605,40.071311665784883,0,,,,,SFD,,,244,,,GLEN HOLLOW,RD,,DUB,,
-78.089745891989452,40.140044052982688,0,,,,,SFD,,,,,,,,,WEL,,
-77.817465200534812,40.646188156624191,0,,,90812,,ADR,,,13114,,,WEILER,RD,,JACKSON,,
-78.067008143186712,40.716517472801797,0,,,90813,,ADR,,,1732,,,ARBUTUS,LN,,WARRIORS MARK,,
-77.877528163665602,40.571857009211854,0,,,90814,,ADR,,,7147,,,STONE CREEK RIDGE,RD,,MILLER TWP,,
-78.073490052841208,40.705097020311719,0,,,90815,,ADR,,,2062,,,HICKORY RIDGE,RD,,FRANKLIN,,
-78.01454227481355,40.56170480783117,0,,,90816,,ADR,,,7508,,,PANZER,DR,,LOGAN,,
-78.00874351716763,40.559676204201985,0,,,90817,,ADR,,,7669,,,AUDREY,LN,,LOGAN,,
-77.931320055246417,40.25001364834867,0,,,90818,,ADR,,,18601,,,MIRIAM,DR,,CROMWELL,,
-77.944859770592402,40.110717232942562,0,,,90819,,ADR,,,0,,,,,,SPRINGFIELD,,
-78.105769701554365,40.268342043634156,0,,,90820,,ADR,,,18103,,,HEMLOCK RIDGE,RD,,TODD,,
-78.090569964603773,40.427545999521854,0,,,90821,,ADR,,,12239,,,SERENITY,LN,,WALKER TWP,,
-78.214116793707234,40.278816049926832,0,,,90822,,ADR,,,2114,,,EAGLES ROOST,LN,,HOPEWELL,,
-78.212617519293644,40.280768788956891,0,,,90823,,ADR,,,2028,,,EAGLES ROOST,LN,,HOPEWELL,,
-78.061049819000544,40.465573465943521,0,,,90824,,ADR,,,6210,,,TUSCARORA,DR,,WALKER TWP,,
-77.932269721264674,40.244203616222165,0,,,90825,,ADR,,,9768,,,MONROE CHURCH,RD,,CROMWELL TWP,,
-78.17889888033956,40.343970585222507,0,,,90826,,ADR,,,15544,,,JAMES CREEK,RD,,LINCOLN TWP,,
-77.918648582570952,40.494765423788323,0,,,90827,,ADR,,,9867,,,SUGAR GROVE,RD,,HENDERSON,,
-77.926467219350144,40.509992576335691,0,,,90828,,ADR,,,9201,,,SUGAR GROVE,RD,,HENDERSON,,
-77.895685707678268,40.536979301448788,0,,,90829,,ADR,,,8169,,,YESHUA,WAY,,HENDERSON,,
-78.078271608737452,40.69728828574361,0,,,90830,,ADR,,,2357,,,HICKORY RIDGE,RD,,FRANKLIN,,
-78.136673965882267,40.166576052794248,0,,,60611,,ADR,,,252,,,BEDFORD,ST,,BROAD TOP TWP,,
-78.136587965546198,40.166551007965417,0,,,60612,,ADR,,,250,,,BEDFORD,ST,,BROAD TOP TWP,,
-78.136395950092577,40.166465516827074,0,,,60613,,ADR,,,244,,,BEDFORD,ST,,BROAD TOP TWP,,
-78.011295291114379,40.514054936668337,0,,,80001,,ADR,,,209,,,WESTMINSTER,DR,,HUNTINGDON BORO,,
-78.01137906414823,40.513978058894779,0,,,80002,,ADR,,,207,,,WESTMINSTER,DR,,HUNTINGDON BORO,,
-78.014484458038424,40.514167123198959,0,,,80004,,ADR,,,102,,,CALVIN,WAY,,HUNTINGDON BORO,,
-78.01209028344158,40.513859188567679,0,,,80005,,ADR,,,202,,,WESTMINSTER,DR,,HUNTINGDON BORO,,
-78.011538014639058,40.513810599975244,0,,,80006,,ADR,,,205,,,WESTMINSTER,DR,,HUNTINGDON BORO,,
