X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-79.212392738926638,40.960020876125832,0,,,5569256910,,,,,306,,,TIMBLIN,RD,,,,
-79.210895946703587,41.111420326695118,0,,,58813,,ADR,,,3631,,,SANDY FLAT,RD,,OUT OF COUNTY,,
-79.202771019435005,41.187949894604408,0,,,59373,,ADR,,,73000,,,INTERSTATE 80,,WB,OUT OF COUNTY,,
-79.200063800898079,41.186823593096825,0,,,59374,,ADR,,,73001,,,INTERSTATE 80,,EB,OUT OF COUNTY,,
-78.780564898041703,41.176457366386472,0,,,6386498600,,1900,,,4690,,,ROUTE 219,,,,,
-78.783062197809329,41.173778681450941,0,,,6386481602,,1900,,,4456,,,ROUTE 219,,,,,
-78.766263141287084,41.202458610587058,0,,,6387898063,,1900,,,244,,,EVERGREEN FARM,RD,,,,
-78.736090317479352,41.230632611429279,0,,,6398792179,,1900,,,2592,,,RATTLESNAKE,RD,,HORTON,,
-79.137690582589329,41.174094169094339,0,,,5387604191,,1900,,,204,,,MEADOW VIEW,LN,,,,
-79.017134702749232,40.969614505718788,0,,,6219855181,,1900,,,13719,,,ROUTE 536,,,,,
-78.964603281580565,40.941685544479782,0,,,6238249743,,1900,,,387,,,STELLO,WAY,,,,
-78.971657151594172,40.943847610574721,0,,,6238150514,,1900,,,125,,,CRANBERRY,ALY,,,,
-78.874904496264051,41.085707652671005,0,,,6353864806,,1900,,,171,,,HETRICK,DR,,,,
-79.026128322896284,41.094044182787258,0,,,6314607468,,1900,,,15,,,KRAMER HOLLOW,RD,,,,
-78.933427338170262,40.977529922321835,0,,,6249177637,,1900,,,26,,,BEACON,RD,,,,
-78.890875252483951,41.096638471703919,0,,,6354400950,,1900,,,323,,,JACKSON,ST,,,,
-79.048221374994668,41.167423296038109,0,,,6316170380,,1900,,,98,,,SERVICE CENTER,RD,,,,
-78.816694207265598,41.141646598080783,0,,,6375477004,,1900,,,3187,,,SMITHTOWN,RD,,,,
-78.889091318129445,41.17241764916033,0,,,6356489510,,1900,,,615,,,BOXER,RD,,,,
-78.884657171981175,41.087502965362738,0,,,6353577525,,1900,,,294,S,,10TH,ST,,,,
-78.931147800045451,40.997185036043746,0,,,6340244862,,1900,,,607,,,HAMPTON,RD,,,,
-78.93311599186697,40.977621791343914,0,,,6249178720,,1900,,,1681,,,AIRPORT,RD,,,,
-79.02810754721699,41.109807502515466,0,,,6314663203,,1900,,,9655,,,KNOX DALE,RD,,,,
-79.147808818289306,40.960226406945516,0,,,5289224244,,1900,,,1351,,,DORA,RD,,,,
-79.078974556989635,41.051886083495141,0,,,6302159364,,1900,,,422,,,BELSHAZZAR,RD,,,,
-79.123456714110674,41.006965858215167,0,,,5380994146,,9998,,,1470,,,SPRANKLE MILLS,RD,,,5/8/2007,
-79.028527394312775,41.320661667664467,0,,,6412733024,,1900,,,1119,,,PINE RUN,RD,,,5/14/2007,
-78.987550920028497,40.92890028513861,0,,,6228605146,,9998,,,912,S,,MAIN STREET,EXT,,,5/14/2007,
-78.968826778520494,40.926459148135493,0,,,6237197200,,1900,,,236,,,PEDEN PARK,RD,,,5/14/2007,
-78.943247799387493,40.958468283937329,0,,,6239809736,,1900,,,35,,,WOODDALE,DR,,,5/14/2007,
-79.091117374590056,41.2989505517073,0,,,6401050319,,1900,,,10756,,,ROUTE 949,,,,5/29/2007,
-79.052121161568138,41.168318829524587,0,,,6316070614,,1900,,,494,,,SERVICE CENTER,RD,,,5/29/2007,
-79.121241633228607,41.168101348392064,0,,,5396079885,,1900,,,4878,,,ROUTE 322,,,,5/29/2007,
-78.898778199134625,41.122015636597112,0,,,6355200107,,9998,,,466,,,ALDERTON,RD,,,6/1/2007,
-79.029387054656141,40.987420991214691,0,,,6310512695,,1900,,,115,,,MELODY,LN,,,6/6/2007,
-79.193143930150569,41.26545820707404,0,,,5470137684,,1900,,,272,,,BURKET,LN,,,6/15/2007,
-78.906279962028449,41.124392917721821,0,,,6345919047,,1900,,,306,,,OVERLOOK,RD,,,6/18/2007,
-79.105520157680488,41.336894981303708,0,,,5492692278,,1901,,,,,,,,,,,
-79.105897687089978,41.33608483679992,0,,,5492681969,,1901,,,,,,,,,,,
-79.105438125343852,41.335079171833407,0,,,5492682682,,1901,,,,,,,,,,,
-79.093030415500081,41.306207353948473,0,,,5491985035,,1900,,,338,,,AMES,CIR,,,,
-79.104346191870121,41.334968720473881,0,,,5492685587,,1901,,,,,,,,,,,
-79.105088193109296,41.334822010964118,0,,,5492683582,,1901,,,,,,,,,,,
-79.104818561908189,41.334348149898091,0,,,5492684355,,1901,,,,,,,,,,,
-79.104495827479582,41.334046396558534,0,,,5492685234,,1901,,,,,,,,,,,
-79.129546022010274,41.333685511692558,0,,,5482986251,,1901,,,,,,,,,,,
-79.102548898817744,41.333806146406651,0,,,5492780174,,1901,,,,,,,,,,,
-79.129167036770227,41.333383734334582,0,,,5482987160,,1901,,,,,,,,,,,
-79.104069114223321,41.333635236611599,0,,,5492686059,,1901,,,,,,,,,,,
-79.104069094913001,41.333635010767743,0,,,5492686059,,1901,,,,,,,,,,,
-79.101916612837869,41.333462901908966,0,,,5492782041,,1901,,,,,,,,,,,
-79.101635291209746,41.332989121914451,0,,,5492773814,,1901,,,,,,,,,,,
-79.10110121702786,41.332720874954724,0,,,5492774764,,1901,,,,,,,,,,,
-79.102289227790067,41.332522952014628,0,,,5492771637,,1901,,,,,,,,,,,
-79.099984500559131,41.332172648931149,0,,,5492777564,,1901,,,,,,,,,,,
-79.098551127253444,41.331967493295707,0,,,5492871455,,1901,,,,,,,,,,,
-79.099564296572893,41.331817022668872,0,,,5492778480,,1901,,,,,,,,,,,
-79.09973589408331,41.331639963871424,0,,,5492778334,,1901,,,,,,,,,,,
-79.099806698303212,41.331579345757667,0,,,5492778312,,1901,,,,,,,,,,,
-79.208630998880651,41.330200434955579,0,,,5462779320,,1901,,,,,,,,,,,
-79.097040773118607,41.331297098612723,0,,,5492875270,,1901,,,,,,,,,,,
-79.101746506112661,41.330869949503253,0,,,5492772077,,1901,,,,,,,,,,,
-79.20796574794548,41.328813834621322,0,,,5462860799,,1901,,,,,,,,,,,
-79.207889951996677,41.328547587236756,0,,,5462861710,,1901,,,,,,,,,,,
-79.103079550126097,41.329007893781572,0,,,5492668490,,1901,,,,,,,,,,,
-79.180908556619457,41.324020596688435,0,,,5472544992,,1901,,,,,,,,,,,
-79.188107123035039,41.322298022742459,0,,,5472345303,,1901,,,,,,,,,,,
-79.1881015093184,41.322289830492863,0,,,5472345312,,1901,,,,,,,,,,,
-79.188985431428264,41.320807919234966,0,,,5472332759,,1901,,,,,,,,,,,
-79.188826178055507,41.320625010971511,0,,,5472333702,,1901,,,,,,,,,,,
-79.188343190529906,41.320576461606947,0,,,5472334730,,1901,,,,,,,,,,,
-79.188785713585929,41.320527575323631,0,,,5472333619,,1901,,,,,,,,,,,
-79.189921875867199,41.320201461042444,0,,,5472239597,,1901,,,,,,,,,,,
-79.191058185038827,41.319487481357129,0,,,5472236382,,1900,,,279,,,WINGERT,LN,,,,
-79.192861385408094,41.319032532847551,0,,,5472231186,,1900,,,185,,,WINGERT,LN,,,,
-79.191872251907867,41.318880568053729,0,,,5472234150,,1900,,,232,,,WINGERT,LN,,,,
-79.192464813514306,41.318729412055411,0,,,5472232095,,1900,,,188,,,WINGERT,LN,,,,
-79.191571937250927,41.318540035469987,0,,,5472225937,,1901,,,,,,,,,,,
-79.143677144582483,41.318951598600172,0,,,5482526991,,1901,,,,,,,,,,,
-79.190642969968138,41.318339642203057,0,,,5472227980,,1901,,,,,,,,,,,
-79.112056975122911,41.319101911917528,0,,,5492423873,,1901,,,,,,,,,,,
-79.100804944120085,41.318949101092919,0,,,5492724762,,1901,,,,,,,,,,,
-79.195232562300333,41.317613176267365,0,,,5472125625,,1901,,,,,,,,,,,
-79.141008081495514,41.318255817798985,0,,,5482624624,,1901,,,,,,,,,,,
-79.143216334392946,41.318133154536632,0,,,5482528611,,1901,,,,,,,,,,,
-79.143726299735732,41.318101419038477,0,,,5482526670,,1901,,,,,,,,,,,
-79.145075456250325,41.318072678237094,0,,,5482523509,,1901,,,,,,,,,,,
-79.143968748672776,41.318056257178256,0,,,5482526508,,1901,,,,,,,,,,,
-79.147168448415499,41.31793346297507,0,,,5482427525,,1901,,,,,,,,,,,
-79.146033850694906,41.317924481840912,0,,,5482520535,,1901,,,,,,,,,,,
-79.146170081549371,41.317858753876557,0,,,5482520502,,1901,,,,,,,,,,,
-79.146095307013098,41.317798339558365,0,,,5482520520,,1901,,,,,,,,,,,
-79.143661917365861,41.317719334239172,0,,,5482526486,,1901,,,,,,,,,,,
-79.145784352928757,41.317652116771782,0,,,5482521404,,1901,,,,,,,,,,,
-79.135832739753994,41.317764454547429,0,,,5482728434,,1901,,,,,,,,,,,
-79.164366655172898,41.317089135995104,0,,,5472929392,,1901,,,,,,,,,,,
-79.141626080604638,41.317336766414535,0,,,5482622341,,1901,,,,,,,,,,,
-79.180582232818651,41.316566645056987,0,,,5472525241,,1901,,,,,,,,,,,
-79.141874527876425,41.316899934827497,0,,,5482621175,,1901,,,,,,,,,,,
-79.144678195359589,41.316781936273429,0,,,5482524102,,1901,,,,,,,,,,,
-79.141873181396036,41.316808917482746,0,,,5482621172,,1901,,,,,,,,,,,
-79.147121161066735,41.316719490000196,0,,,5482427131,,1901,,,,,,,,,,,
-79.179983539717071,41.316301511900036,0,,,5472527101,,1901,,,,,,,,,,,
-79.141890487098991,41.316746268518301,0,,,5482621160,,1901,,,,,,,,,,,
-79.13646822362189,41.316774535339214,0,,,5482726058,,1901,,,,,,,,,,,
-79.147116560439414,41.31659477138227,0,,,5482427037,,1901,,,,,,,,,,,
-79.141885379332393,41.31665304226626,0,,,5482621076,,1901,,,,,,,,,,,
-79.140905201629096,41.316608143307015,0,,,5482624034,,1901,,,,,,,,,,,
-79.141906922154419,41.316570608687947,0,,,5482621063,,1901,,,,,,,,,,,
-79.141501086446567,41.316559165829077,0,,,5482622073,,1901,,,,,,,,,,,
-79.144822283711747,41.316507018683687,0,,,5482523062,,1901,,,,,,,,,,,
-79.141365224283362,41.316529383044951,0,,,5482623012,,1901,,,,,,,,,,,
-79.140898216096218,41.316521531759207,0,,,5482624041,,1901,,,,,,,,,,,
-79.147131294957148,41.316439450357478,0,,,5482427021,,1901,,,,,,,,,,,
-79.141940980060767,41.316496660074023,0,,,5482621051,,1901,,,,,,,,,,,
-79.141475133535764,41.316474198698742,0,,,5482622080,,1901,,,,,,,,,,,
