X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-77.714756991408578,40.2936551860737,0,,,13031,,ADR,,,17041,,,BATON HOLLOW,RD,,TELL TWP,,
-77.720051430254657,40.312802629957957,0,,,90605,,ADR,,,16423,,,CROWS HOLLOW,RD,,JUNIATA COUNTY,,
-77.181286567967987,40.57846403392579,0,,,,,,,,,,,,,,,,
-77.172057567254242,40.564895757619958,0,,,,,,,,,,,,,,,,
-77.171926951634305,40.564764575308701,0,,,,,,,,,,,,,,,,
-77.172073625572665,40.56482043275566,0,,,,,,,,,,,,,,,,
-77.172570347976475,40.564941513274718,0,,,,,,,,,,,,,,,,
-77.106234733972713,40.594442550632543,0,,,,,,,,,,,,,,,,
-77.106260679624626,40.59414078750865,0,,,,,,,,,,,,,,,,
-77.105957782258926,40.594138634451639,0,,,,,,,,,,,,,,,,
-77.104370424464207,40.594997896240351,0,,,,,,,,,,,,,,,,
-77.538567972841463,40.394196123715254,0,,,,,,,,,,,,,,,,
-77.684901965207757,40.356805271447833,0,,,9387626844,,1,,,923,,,PUMPING STATION,RD,,EAST WATERFORD,,
-77.600261100568474,40.388048010246123,0,,,0318042215,,1,,,36,,,FRY'S,RD,,EAST WATERFORD,,
-77.634010090416723,40.367270588372278,0,,,0307068627,,MFC,,,1301,,,BARTON HOLLOW,RD,,EAST WATERFORD,,
-77.635653154538005,40.408684084358569,0,,,0309013745,,2,,,662,,,TURKEY RIDGE,RD,,EAST WATERFORD,,
-77.626453850206019,40.410239955390558,0,,,0309229302,,2,,,1444,,,TURKEY RIDGE,RD,,HONEY GROVE,,
-77.619105654930067,40.373261125961079,0,,,0307489865,,1,,,498,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.608720104577742,40.374855378059323,0,,,0307798464,,1,,,1137,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.616907055443477,40.379487594364811,0,,,0308515172,,1,,,2548,,,BARTON HOLLOW,RD,,EAST WATERFORD,,
-77.608724943132827,40.386223380966236,0,,,0308738558,,2,,,3186,,,BARTON HOLLOW,RD,,EAST WATERFORD,,
-77.606280489097358,40.388960587504101,0,,,0308845538,,2,,,3405,,,BARTON HOLLOW,RD,,EAST WATERFORD,,
-77.602524482566267,40.39185365871576,0,,,0308955673,,1,,,891,,,SWEGER,LN,,EAST WATERFORD,,
-77.605464122607032,40.398598491038229,0,,,0308887059,,2,,,487,,,GLOSS,RD,,EAST WATERFORD,,
-77.604623725544286,40.398015249292037,0,,,0308879888,,1,,,488,,,GLOSS,RD,,EAST WATERFORD,,
-77.606417948376773,40.402390461341845,0,,,0308894487,,1,,,778,,,GLOSS,RD,,EEAST WATERFORD,,
-77.618910185890357,40.373711771404054,0,,,0307590022,,MFC,,,519,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.618136773226382,40.374096099745636,0,,,0307592136,,1,,,569,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.617082498741468,40.374685833945513,0,,,0307595337,,MFC,,,635,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.615966538535815,40.374623261935554,0,,,0307598345,,2,,,704,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.616219350875753,40.374128911790521,0,,,0307597177,,1,,,656,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.615232176525581,40.375502254914196,0,,,0307690647,,1,,,735,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.613697875030681,40.37569305950435,0,,,0307694774,,2,,,813,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.692858300308529,40.354172194565791,0,,,9387414828,,1,,,27,,,TREGO,RD,,EAST WATERFORD,,
-77.672272818460144,40.355807926357727,0,,,9397021468,,1,,,1697,,,CAMPBELL HOLLOW,RD,,EAST WATERFORD,,
-77.676919137909294,40.351471015786409,0,,,9387808960,,1,,,1339,,,CAMPBELL HOLLOW,RD,,EAST WATERFORD,,
-77.688415908326462,40.318560634042917,0,,,9385586971,,,,,178,,,RHINE HOLLOW,RD,,EAST WATERFORD,,
-77.674845425233087,40.331885578149148,0,,,9386934756,,2,,,1358,,,RHINE HOLLOW,RD,,EAST WATERFORD,,
-77.67046720915846,40.335996094188623,0,,,9396056276,,1,,,1729,,,RHINE HOLLOW,RD,,EAST WATERFORD,,
-77.640228127701988,40.361361932798438,0,,,9397940591,,1,,,772,,,BARTON HOLLOW,RD,,EAST WATERFORD,,
-77.634813505037812,40.365601102843101,0,,,0307065096,,MFC,,,1204,,,BARTON HOLLOW,RD,,EAST WATERFORD,,
-77.63132134429577,40.371720846008365,0,,,0307185269,,1,,,152,,,BECK,LN,,EAST WATERFORD,,
-77.630441519516523,40.37255449726603,0,,,0307188519,,2,,,200,,,BECK,LN,,EAST WATERFORD,,
-77.624101224233314,40.373890748358704,0,,,0307395078,,1,,,2024,,,BARTON HOLLOW,RD,,EAST WATERFORD,,
-77.617802409188968,40.374185716437566,0,,,0307593139,,2,,,599,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.618165812638438,40.37375119622336,0,,,0307592033,,MFC,,,562,,,KIRK RIDGE,RD,,EAST WATERFORD,,
-77.614390779419921,40.399295991687957,0,,,0308682364,,1,,,26,,,SWEGER,LN,,EAST WATERFORD,,
-77.616573867972448,40.399454401963055,0,,,0308586460,,1,,,134,,,SINGER,LN,,EAST WATERFORD,,
-77.62749946077021,40.411390719549104,0,,,0309226714,,1,,,1143,,,TURKEY RIDGE,RD,,HONEY GROVE,,
-77.64426887057266,40.408575326277735,0,,,9399719741,,1,,,143,,,TURKEY RIDGE,RD,,EAST WATERFORD,,
-77.643028736885952,40.348599926562301,0,,,9396893816,,SBS,,,158,,,ZOOK,DR,,EAST WATERFORD,,
-77.648325067958609,40.347195849025454,0,,,9396698335,,MFC,,,3868,,,PUMPING STATION,RD,,EAST WATERFORD,,
-77.649181255612078,40.351042021912953,0,,,9397605795,,2,,,3563,,,PUMPING STATION,RD,,EAST WATERFORD,,
-77.670480204797542,40.358911504227514,0,,,9397036661,,MFC,,,44,,,CAMP,DR,,EAST WATERFORD,,
-77.670070330109212,40.358875038371387,0,,,9397037670,,MFC,,,50,,,CAMP,DR,,EAST WATERFORD,,
-77.66991517801614,40.35942007848282,0,,,9397038719,,MFC,,,71,,,CAMP,DR,,EAST WATERFORD,,
-77.669934252522708,40.35928742296052,0,,,9397038715,,MFC,,,70,,,CAMP,DR,,EAST WATERFORD,,
-77.670098374917387,40.359157280398207,0,,,9397037760,,MFC,,,66,,,CAMP,DR,,EAST WATERFORD,,
-77.677026426773622,40.361242437232477,0,,,9387848436,,MFC,,,1415,,,PUMPING STATION,RD,,EAST WATERFORD,,
-77.679129291847687,40.359978203034338,0,,,9387842040,,1,,,1302,,,PUMPING STATION,RD,,EAST WATERFORD,,
