X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-78.918649216436947,41.987484345121501,0,,,1416,,OUT,KI-001-218800,,,,,,,,OUT OF COUNTY,,
-78.918601018835517,41.985547626465703,0,,,1676,,DEL,,,,,,,,,OUT OF COUNTY,,
-78.946268807455496,41.819078666210039,0,,,56012,,ADR,,,,,,,,,OUT OF COUNTY,,
-78.928486924207633,41.820598789653985,0,,,56013,,ADR,,,,,,,,,OUT OF COUNTY,,
-78.588816728751468,41.706497495360431,0,,,7536924155,,,,,22,,,PARK,RD,,,,
-78.58561710561861,41.705213276578206,0,,,7546013627,,,,,225,,,MAIN,ST,,HAMLIN TOWNSHIP,,
-78.721146667264804,41.68700343495631,0,,,7505352442,,,,,55,,,WOLF FARM,RD,,WETMORE TOWNSHIP,,
-78.584282267760329,41.832825299921844,0,,,7640181147,,,,,46,,,PITHOLE,RD,,KEATING TOWNSHIP,,
-78.789547246183972,41.664700720618086,0,,,6584474561,,,,,21,,,GAUSMAN,CT,,WETMORE TOWNSHIP,,
-78.271313891461389,41.979479620131038,0,,,8626607954,,,,,450,,,WILDNER,LN,,,,
-78.441775133022489,41.934803749536115,0,,,,,,,,,,,,,,OTTO TOWNSHIP,,
-78.463786661636206,41.941069876384212,0,,,7674473302,,,,,951,,,MAIN,ST,,OTTO TOWNSHIP,,
-78.465734970109565,41.942313023698674,0,,,7674377777,,,,,919,,,MAIN,ST,,OTTO TOWNSHIP,,
-78.474755750777291,41.941054050130688,0,,,7674173313,,,,,84,,,SWEITZER,DR,,OTTO TOWNSHIP,,
-78.452117202567223,41.933615736057192,0,,,7674744557,,,,,1646,,,LOOKER MOUNTAIN,TRL,,OTTO TOWNSHIP,,
-78.453315269931153,41.933962307426121,0,,,7674741730,,,,,1632,,,LOOKER MOUNTAIN,TRL,,OTTO TOWNSHIP,,
-78.492536020004337,41.924116058495351,0,,,7664614220,,,,,33,,,COLUMBIA HILL,RD,,OTTO TOWNSHIP,,
-78.462798362749837,41.943792658509302,0,,,7674485371,,,,,916,,,MAIN,ST,,OTTO TOWNSHIP,,
-78.374782220715659,41.923668514998759,0,,,7694804779,,,,,3202,,,ROUTE 446,,,ELDRED TOWNSHIP,,
-78.385931658793879,41.957602851303101,0,,,7695535127,,ADR,,,185,,,MAIN,ST,,ELDRED BOROUGH,,
-78.384165174198188,41.958286334228269,0,,,7695630412,,ADR,,,11,,,KING,ST,,ELDRED BOROUGH,,
-78.384337505149603,41.958285392502532,0,,,7695539462,,ADR,,,9,,,KING,ST,,ELDRED BOROUGH,,
-78.383234333778489,41.958396230990893,0,,,7695632466,,GAR,,,-99999,,,,,,ELDRED BOROUGH,,
-78.383029014448397,41.958287771374991,0,,,7695633412,,ADR,,,21,,,KING,ST,,ELDRED BOROUGH,,
-78.382439061493713,41.958009897190308,0,,,7695634372,,GAR,,,-99999,,,,,,ELDRED BOROUGH,,
-78.382099942968026,41.957925987944861,0,,,7695635278,,ADR,,,28,,,KING,ST,,ELDRED BOROUGH,,
-78.380013524710193,41.958008799907518,0,,,7695731331,,GAR,,,-99999,,,,,,ELDRED BOROUGH,,
-78.377268345342969,41.95795697179696,0,,,7695738289,,ADR,,,62,,,KING,ST,,ELDRED BOROUGH,,
-78.382471181530235,41.952811881070971,0,,,7695614452,,GAR,,,-99999,,,,,,ELDRED BOROUGH,,
-78.376743332311207,41.952523753728698,0,,,7695810311,,GAR,,,-99999,,,,,,ELDRED BOROUGH,,
-78.378625090252115,41.951922800308203,0,,,7695715009,,ADR,,,48,,,MECHANIC,ST,,ELDRED BOROUGH,,
