X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-77.407526381347083,40.83519727266998,0,,,,,1310,,,144,,,MID STATE,TRL,,HAINES TWP,,
-77.622285750592951,40.752229914295256,0,,,,,1310,,,7907,,,US HIGHWAY 322,,,POTTER TWP,,
-77.599705325969424,40.587224388612228,0,,,,,OB,"01 ,02-0400--,000",,,,,,,,,,
-77.59990841844855,40.586644020748054,0,,,,,OB,"01 ,02-0400--,000",,,,,,,,,,
-77.599727948458622,40.586759190198123,0,,,,,OB,"01 ,02-0400--,000",,,,,,,,,,
-77.600027956164737,40.586929032019256,0,,,,,OB,"01 ,02-0400--,000",,,,,,,,,,
-77.600544684078955,40.587204214992198,0,,,,,OB,"01 ,02-0400--,000",,,,,,,,,,
-77.60042867012821,40.58768004597956,0,,,,,OB,"01 ,02-0400--,000",,,,,,,,,,
-77.601100531412413,40.58769819581822,0,,,,,OB,"01 ,02-0301--,000",,,,,,,,,,
-77.600991637919975,40.588095780910834,0,,,,,OB,"01 ,02-0301--,000",,,,,,,,,,
-77.601885537260316,40.587637456000436,0,,,,,,"01 ,02-0302--,000",,,,,,,,,,
-77.601236009218724,40.587499622033008,0,,,,,OB,"01 ,02-0301--,000",,,,,,,,,,
-77.600459679830962,40.587782175121838,0,,,,,OB,"01 ,02-0301--,000",,,,,,,,,,
-77.602696011566877,40.587457455045268,0,,,,,,"17 ,11-0103C-,000",,,,,,,,,,
-77.601464792007079,40.588688484064463,0,,,,,,"01 ,01-0624--,000",,,,,,,,,,
-77.60240331291898,40.588433622077581,0,,,,,,"01 ,01-0620--,000",,,,,,,,,,
-77.60319567462426,40.587976750988446,0,,,,,,"17 ,11-0103D-,000",,,,,,,,,,
-77.604065553186061,40.58806466534157,0,,,,,OB,"17 ,11-0115--,000",,,,,,,,,,
-77.598159892271099,40.592711033039784,0,,,,,,"17 ,19-0209--,000",,,,,,,,,,
-77.598746265330419,40.592456210038222,0,,,,,needs checked,"17 ,19-0215--,000",,,,,,,,,,
-77.598958066673575,40.592359240573067,0,,,,,,"17 ,19-0218--,000",,,,,,,,,,
-77.599178979864931,40.592216162241549,0,,,,,OB,"17 ,19-0223--,000",,,,,,,,,,
-77.599391513736961,40.59216401906744,0,,,,,,"17 ,19-0223--,000",,,,,,,,,,
-77.599588448908165,40.59207495950934,0,,,,,,"17 ,19-0225--,000",,,,,,,,,,
-77.599664542334125,40.591950738608453,0,,,,,OB,"17 ,19-0227--,000",,,,,,,,,,
-77.599829827483063,40.591946994555279,0,,,,,,"17 ,19-0227--,000",,,,,,,,,,
-77.600131447499024,40.591820116018411,0,,,,,,"17 ,19-0230--,000",,,,,,,,,,
-77.600298902250088,40.591644396128025,0,,,,,,"17 ,19-0233--,000",,,,,,,,,,
-77.600193208350532,40.591656856088804,0,,,,,OB,"17 ,19-0233--,000",,,,,,,,,,
-77.600763756900932,40.5914689095898,0,,,,,,"17 ,19-0238--,000",,,,,,,,,,
-77.600895874013773,40.591374663868528,0,,,,,,"17 ,19-0240--,000",,,,,,,,,,
-77.601175372596643,40.591269219661392,0,,,,,,"17 ,19-0243--,000",,,,,,,,,,
-77.601692481682989,40.590668411448085,0,,,,,Maintance Buildi,"01 ,01-0100--,000",,,,,,,,,,
-77.599045010048584,40.591122028401877,0,,,,,,"01 ,03-0400--,000",,,,,,,,,,
-77.59887820293396,40.590991911992113,0,,,,,,"01 ,03-0400--,000",,,,,,,,,,
-77.598719127537365,40.591232325207258,0,,,,,,"01 ,03-0520--,000",,,,,,,,,,
-77.598474792995688,40.591186217121837,0,,,,,,"01 ,03-0522--,000",,,,,,,,,,
-77.598005720924263,40.59185116254546,0,,,,,,"01 ,03-0500A-,000",,,,,,,,,,
-77.597893822394639,40.591652517283862,0,,,,,OB,"01 ,03-0529--,000",,,,,,,,,,
-77.598204596275792,40.591320472532743,0,,,,,,"01 ,03-0525--,000",,,,,,,,,,
-77.59776976700185,40.591485052418399,0,,,,,,"01 ,03-0529--,000",,,,,,,,,,
-77.597836177942511,40.592317251894841,0,,,,,,"01 ,03-0101--,000",,,,,,,,,,
-77.597560473683487,40.592447581600013,0,,,,,,"01 ,03-0104--,000",,,,,,,,,,
-77.597465989605837,40.59249975876083,0,,,,,,"01 ,03-0105--,000",,,,,,,,,,
-77.597377676298137,40.592542447359321,0,,,,,,"01 ,03-0106--,000",,,,,,,,,,
-77.59833176136253,40.59146504517043,0,,,,,OB,"01 ,03-0525--,000",,,,,,,,,,
-77.596982739686126,40.592336864814143,0,,,,,,"01 ,03-0206A-,000",,,,,,,,,,
-77.596980522552258,40.592182256377022,0,,,,,,"01 ,03-0209--,000",,,,,,,,,,
-77.597264931056472,40.592232857057837,0,,,,,,"01 ,03-0211--,000",,,,,,,,,,
-77.597499912793523,40.592131533502801,0,,,,,,"01 ,03-0213--,000",,,,,,,,,,
-77.597702392136895,40.592003491608182,0,,,,,,"01 ,03-0216--,000",,,,,,,,,,
-77.597563075508958,40.591885214944675,0,,,,,OB,"01 ,03-0216--,000",,,,,,,,,,
-77.596575478904853,40.591994094677432,0,,,,,,"01 ,03-0226--,000",,,,,,,,,,
-77.596803698884827,40.591929498735297,0,,,,,,"01 ,03-0224--,000",,,,,,,,,,
-77.597080677767238,40.591836254869989,0,,,,,,"01 ,03-0220--,000",,,,,,,,,,
-77.597318970829178,40.591661526269952,0,,,,,,"01 ,03-0218--,000",,,,,,,,,,
-77.597233730051599,40.591677208148496,0,,,,,OB,"01 ,03-0218--,000",,,,,,,,,,
-77.597437527080046,40.591824328059488,0,,,,,OB,"01 ,03-0218--,000",,,,,,,,,,
-77.597365255149867,40.591835718302903,0,,,,,OB,"01 ,03-0218--,000",,,,,,,,,,
-77.597289677193814,40.591897707668174,0,,,,,OB,"01 ,03-0218--,000",,,,,,,,,,
-77.601269532830017,40.590375876583977,0,,,,,,"01 ,01-0212A-,000",,,,,,,,,,
-77.601039440495981,40.590488324450881,0,,,,,,"01 ,01-0212B-,000",,,,,,,,,,
-77.600833636216819,40.590573276937079,0,,,,,,"01 ,01-0212--,000",,,,,,,,,,
-77.600649181932084,40.590648172680389,0,,,,,,"01 ,01-0212C-,000",,,,,,,,,,
-77.601048342074634,40.590062207542765,0,,,,,,"01 ,01-0208--,000",,,,,,,,,,
-77.600880559475399,40.590112790090153,0,,,,,,"01 ,01-0207--,000",,,,,,,,,,
-77.600680724299991,40.590203864470915,0,,,,,,"01 ,01-0206--,000",,,,,,,,,,
-77.600468360077599,40.590294005146767,0,,,,,,"01 ,01-0229--,000",,,,,,,,,,
-77.599833337771713,40.59064039140538,0,,,,,,"01 ,01-0233--,000",,,,,,,,,,
-77.59966494895923,40.590816654924154,0,,,,,OB,"01 ,01-0236--,000",,,,,,,,,,
-77.59942899095816,40.590803049352132,0,,,,,,"01 ,01-0236--,000",,,,,,,,,,
-77.601703827768134,40.589294115432445,0,,,,,Community Center,"01 ,01-0600--,000",,,,,,,,,,
-77.601017663013209,40.589339051908027,0,,,,,needs checked,"01 ,01-0601--,000",,,,,,,,,,
-77.600755857401566,40.589121302356013,0,,,,,,"01 ,01-0630--,000",,,,,,,,,,
-77.600851492518117,40.588991769428326,0,,,,,,"01 ,01-0629--,000",,,,,,,,,,
-77.600986094844203,40.588886257884035,0,,,,,,"01 ,01-0628--,000",,,,,,,,,,
-77.601112527669102,40.588807670348842,0,,,,,,"01 ,01-0627--,000",,,,,,,,,,
-77.601251003853875,40.58890267515266,0,,,,,OB,"01 ,01-0627--,000",,,,,,,,,,
-77.601141626532609,40.589030556752377,0,,,,,OB,"01 ,01-0628--,000",,,,,,,,,,
-77.600348988726182,40.588596899085346,0,,,,,,"01 ,02-0114--,000",,,,,,,,,,
-77.599846225604651,40.58893847720261,0,,,,,,"01 ,02-0109--,000",,,,,,,,,,
-77.599263629594432,40.589134166192814,0,,,,,,"01 ,02-0106--,000",,,,,,,,,,
-77.598513754299347,40.589495531651359,0,,,,,,"01 ,02-0101--,000",,,,,,,,,,
-77.598410836175248,40.589390365071118,0,,,,,OB,"01 ,02-0101--,000",,,,,,,,,,
