X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-76.653747786516703,41.154926767677431,0,,,50673,,,,,0,,,,,,,,
-76.602580950253611,40.950223788572458,0,,,,,,,,,,,,,,,,
-76.559541661048328,40.896456627535017,0,,,,,HOME,,,,,,440 SHARP RIDGE RD,,,DANVILLE,,
-76.558234982766038,40.891911629029487,0,,,,,HOME,,,,,,SHARP RIDGE RD,,,,,
-76.557999961053639,40.891548346277325,0,,,,,HOME,,,,,,475 SHARP RIDGE RD,,,DANVILLE,,
-76.554445515297033,40.892626975836549,0,,,,,HOME,,,,,,22 SUNSET RD,,,ELIZABETHTOWN,,
-76.549976530002468,40.894020487815773,0,,,,,HOME,,,,,,SUNSET RD,,,,,
-76.548573849558537,40.894163348949718,0,,,,,HOME,,,,,,53 SUNSET RD,,,,,
-76.544007140864352,40.895788318205653,0,,,,,HOME,,,,,,100 HIGH RD,,,,,
-76.544058498561043,40.896148864672504,0,,,,,HOME,,,,,,98 HIGH RD,,,,,
-76.54698154259205,40.897607488647594,0,,,,,HOME,,,,,,TWIN PONDS RD,,,,,
-76.551922660206415,40.898500868142108,0,,,,,HOME,,,,,,43 TWIN PONDS RD,,,DANVILLE,,
-76.565499858720855,40.906138471333094,0,,,,,HOME,,,,,,368 SHARP RIDGE RD,,,DANVILLE,,
-76.565374303014849,40.906393966463213,0,,,,,HOME,,,,,,364 SHARP RIDGE RD,,,,,
-76.565243046502587,40.906951513507295,0,,,,,HOME,,,,,,361 SHARP RIDGE RD,,,,,
-76.564149658148835,40.905779982672406,0,,,,,HOME,,,,,,361 SHARP RIDGE RD,,,DANVILLE,,
-76.561403334190771,40.906966651048066,0,,,,,HOME,,,,,,SHARP RIDGE RD,,,,,
-76.5623500085199,40.908045632240039,0,,,,,HOME,,,,,,SHARP RIDGE RD,,,,,
-76.5607700403325,40.907297372325488,0,,,,,TRAILER,,,,,,337 SHARP RIDGE RD,,,DANVILLE,,
-76.560055650724792,40.907402144611531,0,,,,,HOME,,,,,,333 SHARP RIDGE RD,,,MAYBERRY,,
-76.556918324235923,40.908871654084045,0,,,,,HOME,,,,,,316 SHARP RIDGE RD,,,DANVILLE,,
-76.555641287874039,40.909103685917941,0,,,,,HOME,,,,,,310 SHARP RIDGE RD,,,,,
-76.555295155819564,40.909089803260336,0,,,,,TRAILER,,,,,,307 SHARP RIDGE RD,,,,,
-76.553171630176294,40.907946649208121,0,,,,,HOME,,,,,,296 SHARP RIDGE RD,,,,,
-76.551913348235246,40.908184961542567,0,,,,,HOME,,,,,,291 SHARP RIDGE RD,,,,,
-76.549880036320857,40.90637336145884,0,,,,,HOME,,,,,,HIGH RD,,,,,
-76.539638869867161,40.90810996014654,0,,,,,TRAILER,,,,,,59 PINE TREE RD,,,DANVILLE,,
-76.538145475615735,40.907026647784306,0,,,,,HOME,,,,,,65 PINE TREE RD,,,DANVILLE,,
-76.537618196584518,40.906968837097907,0,,,,,HOME,,,,,,69 PINE TREE RD,,,,,
-76.536509961358476,40.906835010793152,0,,,,,HOME,,,,,,75 PINE TREE RD,,,DANVILLE,,
-76.5362817121175,40.905480024428961,0,,,,,HOME,,,,,,70 PINE TREE RD,,,DANVILLE,,
-76.537833363902749,40.906710014832846,0,,,,,HOME,,,,,,68 PINE TREE RD,,,DANVILLE,,
-76.548975299202695,40.904493342241203,0,,,,,CHURCH,,,,,,29 HIGH RD,,,,,
-76.545272326468222,40.90341663883131,0,,,,,TRAILER,,,,,,HIGH RD,,,,,
-76.545953336394589,40.900526012564022,0,,,,,HOME,,,,,,63 HIGH RD,,,,,
-76.545941037320304,40.900464485917176,0,,,,,HOME,,,,,,65 HIGH RD,,,,,
-76.545093989978454,40.899611975465803,0,,,,,HOME,,,,,,74 HIGH RD,,,,,
-76.545092650728819,40.899613344688674,0,,,,,HOME,,,,,,72 HIGH RD,,,,,
-76.544499480843911,40.898542992274294,0,,,,,HOME,,,,,,80 HIGH RD,,,CATAWISSA,,
-76.544556989019199,40.890474470674569,0,,,,,HOME,,,,,,3 BILLMAN RD,,,,,
-76.541815190916978,40.893281800909364,0,,,,,HOME,,,,,,BILLMAN RD,,,,,
-76.541459999663928,40.892064511710529,0,,,,,HOME,,,,,,BILLMAN RD,,,,,
-76.539250039213229,40.891938319340277,0,,,,,HOME,,,,,,BILLMAN RD,,,,,
-76.539660178407544,40.887768148262815,0,,,,,HOME,,,,,,26 FRUIT FARM RD,,,ELYSBURG,,
-76.535102983390303,40.887220995792703,0,,,,,HOME,,,,,,49 FRUIT FARM RD,,,ELYSBURG,,
-76.533465181311016,40.88498837602264,0,,,,,HOME,,,,,,FRUIT FARM RD,,,ELYSBURG,,
-76.533096659805125,40.885843364141699,0,,,,,HOME - BUSINESS,,,,,,E SLEEPY HOLLOW RD,,,,,
-76.551873314307159,40.883971635493872,0,,,,,HOME,,,,,,HIGH RD,,,,,
