X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-77.598772609746746,41.52222267102227,0,,,3007,,,,,99,,,COUNTY LINE TRL,,,BROWN,,
-77.599202505077727,41.511632076806201,0,,,3010,,,,,1206,,,GRADE RD,,,BROWN,,
-77.59963030235734,41.526391036586013,0,,,3005,,,,,25,,,BIG DAM HOLLOW RD,,,,,
-77.607068180649506,41.873198380097975,0,,,,,INA,,,-999,,,,,,OUT,,
-77.607906296503145,41.893864425577398,0,,,,,NA,,,-999,,,,,,OUT,,
-77.607674331949866,41.894040714413919,0,,,,,NA,,,-999,,,,,,OUT,,
-77.607604613759065,41.896930086060152,0,,,,,ADR,,,-999,,,,,,OUT,,
-77.607461792302715,41.896994950891752,0,,,,,OUT,,,-999,,,,,,OUT,,
-77.607478080296332,41.896778757415717,0,,,,,GAR,,,-999,,,,,,OUT,,
-77.607563444800718,41.895692679528615,0,,,,,ADR,,,-999,,,,,,OUT,,
-77.60759062635826,41.895428178453763,0,,,,,GAR,,,-999,,,,,,OUT,,
-77.607616747012528,41.895510435569086,0,,,,,OUT,,,-999,,,,,,OUT,,
-77.608171823951551,41.919550134926325,0,,,,,INA,,,-999,,,,,,OUT,,
-77.608042437576657,41.916839111054955,0,,,,,ADR,,,-999,,,,,,OUT,,
-77.608053080763369,41.916501225181698,0,,,,,OUT,,,-999,,,,,,OUT,,
-77.607847056617899,41.916620192430912,0,,,,,OUT,,,-999,,,,,,OUT,,
-77.608178510276815,41.914621440605401,0,,,,,NA,,,-999,,,,,,OUT,,
-77.607891845033947,41.913883789638255,0,,,,,NA,,,-999,,,,,,OUT,,
-77.609360597018707,41.962058124067809,0,,,,,NA,,,-999,,,,,,OUT,,
-77.610027902028804,41.99320839282349,0,,,,,BAR,,,-999,,,,,,OUT,,
-77.601274061028789,41.614308732873972,0,,,,,NA,,,-999,,,,,,OUT,,
-77.601743052621686,41.613505162421824,0,,,,,NA,,,-999,,,,,,OUT,,
-77.602301938575309,41.671609738834228,0,,,,,NA,,,-999,,,,,,OUT,,
-77.602251946613222,41.671471432111495,0,,,,,NA,,,-999,,,,,,OUT,,
-77.602490624621453,41.671528194328921,0,,,,,NA,,,-999,,,,,,OUT,,
-77.602357373618574,41.671527675811205,0,,,,,NA,,,-999,,,,,,OUT,,
-77.602335815137124,41.671245491717592,0,,,,,NA,,,-999,,,,,,OUT,,
-77.602760669932906,41.670450796551236,0,,,,,NA,,,-999,,,,,,OUT,,
-77.602288036789943,41.67107046159358,0,,,,,NA,,,-999,,,,,,OUT,,
-77.604691770518556,41.737581958892143,0,,,,,NA,,,-999,,,,,,OUT,,
-77.60453781720112,41.737643707973945,0,,,,,NA,,,-999,,,,,,OUT,,
-77.604793752949391,41.741966564977723,0,,,,,NA,,,-999,,,,,,OUT,,
-77.60419528362057,41.740483491831547,0,,,,,NA,,,-999,,,,,,OUT,,
-77.603877780783435,41.744321996238483,0,,,,,OUT,,,-999,,,,,,OUT,,
-77.6038689452798,41.744158005293464,0,,,,,OUT,,,-999,,,,,,OUT,,
-77.604156166436766,41.744080033085439,0,,,,,NA,,,-999,,,,,,OUT,,
-77.60413817236396,41.744026767674143,0,,,,,NA,,,-999,,,,,,OUT,,
-77.604303037270498,41.744213796294765,0,,,,,NA,,,-999,,,,,,OUT,,
-77.60427918543941,41.744921959966064,0,,,,,NA,,,-999,,,,,,OUT,,
-77.605062182425939,41.710372842979709,0,,,,,ADR,,,570,,,BABYLON,RD,,POTTER COUNTY,,
-77.605724499129309,41.709997215901076,0,,,,,ADR,,,599,,,BABYLON,RD,,POTTER COUNTY,,
-77.608013396520747,41.708903152539513,0,,,,,ADR,,,653,,,BABYLON,RD,,POTTER COUNTY,,
-77.609525369470475,41.709013783237999,0,,,,,ADR,,,657,,,BABYLON,RD,,POTTER COUNTY,,
