X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-76.743236147623733,41.401507091420505,0,,,47023,,,,,18595,,,RT 87 HWY,,,,,
-76.795822910958918,41.539889978336952,0,,,2348,,,,,0,,,,,,,,
-76.741886772034263,41.401180465665682,0,,,47021,,,,,0,,,,,,,,
-76.742452940327041,41.401519511421093,0,,,47022,,,,,0,,,,,,,,
-76.743469309735673,41.402095368051839,0,,,47024,,,,,0,,,,,,,,
-76.598449983547383,41.308970422427862,0,,,46797,,,,,0,,,,,,,,
-76.602834865558293,41.310928901483877,0,,,46775,,,,,15402,,,RT 220 HWY,,,,,
-76.639572455664251,41.335713119980106,0,,,46811,,,,,2030,,,ROCK RUN RD,,,,,
-76.696714902992753,41.372716404411143,0,,,46951,,,,,1489,,,CRYSTAL LAKE RD,,,,,
-76.696964005272491,41.37252140729025,0,,,56887,,,,,1505,,,CRYSTAL LAKE RD,,,,,
-76.69690483307204,41.373083368980048,0,,,56888,,,,,1478,,,CRYSTAL LAKE RD,,,,,
-76.696391911598241,41.372804880373479,0,,,56889,,,,,1459,,,CRYSTAL LAKE RD,,,,,
-76.696824441258158,41.373153910671434,0,,,56890,,,,,1448,,,CRYSTAL LAKE RD,,,,,
-76.69680756644351,41.373239959262818,0,,,56891,,,,,1432,,,CRYSTAL LAKE RD,,,,,
-76.6960962643155,41.372892233098305,0,,,56892,,,,,1417,,,CRYSTAL LAKE RD,,,,,
-76.696283413278564,41.373036418278815,0,,,56893,,,,,1429,,,CRYSTAL LAKE RD,,,,,
-76.695960679652686,41.372995976864928,0,,,56894,,,,,1373,,,CRYSTAL LAKE RD,,,,,
-76.692921298756502,41.370438173725482,0,,,46914,,,,,1109,,,CRYSTAL LAKE RD,,,,,
-76.697244132109532,41.372718249608276,0,,,56897,,,,,1514,,,CRYSTAL LAKE RD,,,,,
-76.697426046284548,41.372622305270689,0,,,56899,,,,,1562,,,CRYSTAL LAKE RD,,,,,
-76.225778902789045,41.519367373799611,0,,,,,2000,,,,,,,,,,,
-76.550030252128451,41.296915772931058,0,,,15025,,ADR,,,361,,,GROVE,LN,,DAVIDSON TWP,,
