X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-77.080903779908866,40.044031069558521,0,,,,,Buildings,,,,,,,,,,,
-76.988165829893745,39.967115510236688,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.98345599320146,39.960662184976542,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.969373795086398,39.911415615438592,0,,,,,,17L09-0013A--000,,0,,,,,,HAMILTON,,
-76.972591465018098,39.912033773071322,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.979548300034949,39.893910136823429,0,,,,,,01002-0006---000,,0,,,,,,,,
-76.974709299668987,39.894752732421672,0,,,,,,00ADM-ROAD---000,,0,,,,,,,,
-76.980157778758155,39.886971414859779,0,,,,,,01004-0063---000,,205,E,,KING,ST,,ABBOTTSTOWN,,
-76.97998559078458,39.886599612456642,0,,,,,,01004-0079---000,,158,,,COUNTRY CLUB,RD,,ABBOTTSTOWN,,
-76.97967996261832,39.886446704185694,0,,,,,,01004-0079---000,,158,,,COUNTRY CLUB,RD,,ABBOTTSTOWN,,
-76.979449365265452,39.886433789258,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.979111465913974,39.886062889303219,0,,,,,,01004-0079---000,,158,,,COUNTRY CLUB,RD,,ABBOTTSTOWN,,
-76.960117536268356,39.865979617886772,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.962329484110853,39.866397593522066,0,,,,,,04L11-0105G--000,,0,,,,,,BERWICK,,
-76.95645939495067,39.858071025638083,0,,,,,,04M11-0015---000,,365,,,HIGH ROCK,RD,,BERWICK,,
-76.975401805296315,39.849253098206439,0,,,,,Buildings,04L12-0133---000,,825,,,BEAVER CREEK,RD,,BERWICK,,
-76.97808228272703,39.847795020152702,0,,,,,Buildings,04L12-0035I--000,,15,,,OAK HILL,DR,,BERWICK,,
-76.979157341882313,39.846671675143995,0,,,,,Buildings,04L12-0035J--000,,1585,,,ABBOTTSTOWN,PIKE,,BERWICK,,
-76.989022721216159,39.832826169696055,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.99640968814937,39.832095194334087,0,,,,,,04L13-0004A--000,,1429,,,CARLISLE,PIKE,,BERWICK,,
-76.999601717830316,39.827996010664783,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.999505587809054,39.822751240216235,0,,,,,,00ADM-ROAD---000,,0,,,,,,,,
-76.998768355161033,39.823822713697027,0,,,,,,00ADM-YORK---000,,0,,,,,,,,
-76.999778701598302,39.821875585364936,0,,,,,,08L13-0055---000,,0,W,,EISENHOWER,DR,,CONEWAGO,,
-76.999673477403221,39.819956932878789,0,,,,,,08L13-0058---000,,0,,,RADIO,RD,,CONEWAGO,,
-76.999886372752897,39.819617530981105,0,,,,,,00ADM-ROAD---000,,0,,,,,,,,
-76.999878287335136,39.814134599959083,0,,,,,,08L14-0021---000,,0,,,KINDIG,LN,,CONEWAGO,,
-76.999640623091054,39.806058554004196,0,,,,,Buildings,08008-0172---000,,12,,,LINDEN,AVE,,CONEWAGO,,
-76.999643399457156,39.803767424632262,0,,,,,Buildings,08009-0028---000,,220,,,SOUTH,ST,,CONEWAGO,,
-76.999460098623743,39.80219005420679,0,,,,,Buildings,08009-0083---000,,307,,,DILLER,RD,,CONEWAGO,,
